Gene,Adj.P.Val,logFC
HPRT1,2.62e-05,1.1874448999999998
YY1,2.65e-05,1.3063818
H2AFV,2.9199999999999998e-05,1.0373963
CLINT1,2.9199999999999998e-05,1.0121392
LAMP2,2.9299999999999997e-05,1.2635645
SEC62,2.94e-05,1.0305119
CDS1,2.98e-05,1.0866251
ARPC5,2.99e-05,1.0773324
GNAI1,2.99e-05,1.5828333
SPTLC1,2.9999999999999997e-05,1.1050589
CD59,3.229999999999999e-05,1.1164456
ATP6AP2,3.3299999999999996e-05,1.2078107
BNIP3,3.45e-05,1.1020938999999998
ITGBL1,3.4899999999999995e-05,1.1513103999999998
PLSCR1,3.6099999999999997e-05,1.2561308999999998
SCAF11,3.63e-05,1.1460382
ANXA7,3.64e-05,1.2908587
OAT,3.6700000000000004e-05,1.1076173999999999
VDAC2,3.7e-05,1.2151197
MAPK6,3.8e-05,1.137635
ATP5J,3.8299999999999996e-05,1.250761
RAP1B,3.86e-05,1.4382164
CYCS,3.9e-05,1.1731227
TOR1AIP1,3.96e-05,1.155807
nan,3.97e-05,1.2934521
TOMM34,4.2e-05,1.5040464
SERINC1,4.210000000000001e-05,1.1087133999999998
CREBL2,4.48e-05,1.0046458
ABCD3,4.77e-05,1.0903611999999998
RAD21,4.96e-05,1.1703324
CASP4,5.04e-05,1.2937123
TWF1,5.04e-05,1.1066637
H2AFZ,5.16e-05,1.1338596
DOCK9,5.18e-05,1.0438261
IL18,5.6899999999999994e-05,1.1232198
KRIT1,5.79e-05,1.1548506
YME1L1,5.88e-05,1.1034777
MTDH,6.6e-05,1.1280609
C14orf2,7.020000000000001e-05,1.2519296
AMD1,7.43e-05,1.1579603
PPP1R2,7.53e-05,1.005796
SDCBP,8e-05,1.1325402
CD46,8.329999999999999e-05,1.3377648000000002
GJA1,8.35e-05,1.4062707
SNORD14D///SNORD14C///HSPA8,8.609999999999999e-05,1.1453042
GBAS,9.39e-05,1.1684233
PRNP,9.76e-05,1.2718690000000001
NMI,9.83e-05,1.1142659
ASAH1,9.83e-05,1.03201
DPYSL2,9.95e-05,1.3021386000000001
CNN3,0.000101,1.5697361
PDCD6,0.000109,1.2274851
CREB1,0.00011200000000000001,1.0170701
CAST,0.000113,1.0209426
CALD1,0.00011499999999999999,1.3411312
RALA,0.00011599999999999999,1.0014606
HSPE1,0.00011999999999999999,1.1725617
ADD3,0.000121,1.5109914
EIF1AX,0.000122,1.2005944
CD44,0.000127,1.3023087
LGALS3,0.000128,1.1094524
TOB1,0.00016,1.19672
PPT1,0.000162,1.0627062
MSMO1,0.000172,1.2598557
WNT5A,0.000185,1.4075502
TPM4,0.000196,1.0020296
UBQLN2,0.000199,1.1549643
COX6A1,0.000223,1.0859403
HMGN3,0.000271,1.1552870000000002
CAV2,0.000271,1.2947692
QKI,0.000278,1.0544485000000001
PSPH,0.000294,1.4792802
IRS1,0.000296,1.0436705
USP33,0.000315,1.062402
TMSB10,0.000322,1.1424251
SERINC5,0.000331,1.1172707
MYO5A,0.000364,1.0138605
XBP1,0.00044800000000000005,1.2390624
FABP5,0.000458,1.206446
AIF1,0.000475,1.1944677
MARCKS,0.0005769999999999999,1.0638878999999999
F2R,0.000593,1.1023271000000001
SH3YL1,0.0006389999999999999,1.0080352
MIR636///SRSF2,0.000656,1.0122818999999998
PLAGL1,0.000709,1.0621135
DST,0.000964,1.1104436000000002
CPVL,0.00103,1.0661886
SLC7A1,0.00105,1.1096803
TUBA1A,0.00125,1.1010189
CPE,0.00128,1.2024943000000001
CAV1,0.00128,1.1485684999999999
SEMA3C,0.00151,1.1787246
NCBP2,0.0017800000000000001,1.0662201
TMEM123,0.00179,1.1181442
ITM2A,0.0019100000000000002,1.1688505
CFHR1///CFH,0.0025800000000000003,1.1711531000000002
PSPHP1,0.0035399999999999997,1.0074954
PLXNC1,0.00367,1.2976867
CD24,0.00404,1.3711898999999999
AIM1,0.00461,1.0430536
HLA-F,0.00561,1.0086189
BEX4,0.00619,1.0041067
F13A1,0.0068,1.1498261
SERPINB3,0.00907,1.0338994000000001
SEPP1,0.00949,1.1311367
