Gene,Adj.P.Val,logFC
EIF3E,2.08e-07,1.1849853000000001
NDUFA5,2.08e-07,1.304693
MARCKS,2.1100000000000002e-07,1.4161326
SSBP1,2.1100000000000002e-07,1.3185909
PTPN11,2.19e-07,1.1156671
ARPC5,2.2e-07,1.2084464
STRN3,2.2699999999999998e-07,1.1265876
EIF3M,2.2699999999999998e-07,1.2223238
YY1,2.3199999999999999e-07,1.4545253999999999
PCMT1,2.61e-07,1.2255053
CNN3,2.67e-07,1.8692952
SPTLC1,2.82e-07,1.2314513999999999
DAZAP2,2.96e-07,1.1081756
PSMA2,2.9699999999999997e-07,1.3227223
VDAC1,2.9699999999999997e-07,1.0559891000000001
BTF3,3.01e-07,1.0620063999999998
IARS2,3.15e-07,1.1569113000000002
ARL1,3.2600000000000003e-07,1.3715998999999999
PSMA4,3.34e-07,1.2893333
TRA2B,3.53e-07,1.0649536
STRAP,3.55e-07,1.0893551000000001
PRRC2C,3.55e-07,1.1566499
CLINT1,3.6e-07,1.1180471
H2AFZ,3.64e-07,1.2903528
VBP1,3.6700000000000004e-07,1.0293388
UQCRHL///UQCRH,3.6700000000000004e-07,1.0322118
ATP5J,3.7299999999999997e-07,1.3991118
MRPL3,3.8e-07,1.2320764
SARAF,3.82e-07,1.713257
SRP9,3.86e-07,1.2809758
LAMP2,3.9e-07,1.3921716999999998
COX6C,3.91e-07,1.0696775
COPB1,3.95e-07,1.0955754
MTDH,4.03e-07,1.2964975
USP1,4.0700000000000003e-07,1.3297329
ADAM9,4.1e-07,1.0687208000000001
SEC23A,4.1200000000000004e-07,1.6809802
ZFR,4.32e-07,1.1731111
Sep-15,4.35e-07,1.60343
IFI16,4.41e-07,1.3329123
VDAC2,4.7200000000000004e-07,1.3468313
CLCA2,4.81e-07,1.0705235
SRSF3,4.89e-07,1.008011
C14orf2,4.93e-07,1.4350443000000002
RAB5A,4.970000000000001e-07,1.1073606000000003
RNMT,5e-07,1.0110428
CDS1,5.13e-07,1.1881567
ABI1,5.14e-07,1.131134
KLF10,5.37e-07,1.394495
RCOR1,5.61e-07,1.32564
SUB1,5.7e-07,1.4344948999999998
H3F3AP4///H3F3B///H3F3A,5.73e-07,1.1121809
DNAJC25-GNG10///GNG10,5.86e-07,1.5046025
SERP1,6.19e-07,1.1488957
RAB11A,6.21e-07,1.1159047
GJA1,6.24e-07,1.6162536
PTGES3,6.429999999999999e-07,1.1231895
FPGT,6.64e-07,1.1926777
CCNG2,6.890000000000001e-07,1.2530805
SRSF1,7e-07,1.0132802
SOD1,7.11e-07,1.2429481000000002
TOMM20,7.259999999999999e-07,1.1073715
SNORD14D///SNORD14C///HSPA8,7.82e-07,1.1149677
PLSCR1,7.85e-07,1.3682284
TM9SF2,7.85e-07,1.1939168
SRSF11,7.96e-07,1.1592419
SAT1,8.29e-07,1.1599588
TMSB10,8.359999999999999e-07,1.4043508
COPS5,8.55e-07,1.1920208
PRNP,8.58e-07,1.4582177
SNORA41///EEF1B2,8.96e-07,1.2086976999999999
GDI2,9.05e-07,1.0852338
LYRM1,9.4e-07,1.0213173
ATP6AP2,9.42e-07,1.3024401
PICALM,9.85e-07,1.0175538
NACA,1.01e-06,1.0578877
MSMO1,1.02e-06,1.4824595
HDGF,1.13e-06,1.1509129999999999
CALD1,1.19e-06,1.5353119
CFDP1,1.32e-06,1.0585848
DBI,1.32e-06,1.4719276000000001
HSPE1,1.36e-06,1.3394925
TRA2A,1.38e-06,1.2090197
CD46,1.41e-06,1.4972308
RSU1,1.41e-06,1.0381339
CRYZ,1.41e-06,1.1279996
EI24,1.49e-06,1.0378482
TOB1,1.55e-06,1.3833406000000001
MAF,1.59e-06,1.5456807
SNORD14D///SNORD14C///HSPA8,1.6e-06,1.0016956
FRMD4B,1.68e-06,1.1471824
RALA,1.81e-06,1.1309242
NRIP1,1.88e-06,1.1337176000000002
CAST,1.88e-06,1.1498711000000001
COX6A1,1.89e-06,1.2713581
ITGB1,1.96e-06,1.0824396
SNORD14D///SNORD14C///HSPA8,2.04e-06,1.2679985
OAT,2.04e-06,1.1703483000000001
ATF2,2.15e-06,1.0044115
DUT,2.21e-06,1.0384425
ATP6V0E1,2.27e-06,1.0236244
DOCK9,2.34e-06,1.1191228000000002
MYL12A,2.47e-06,1.0432039
TUBB2A,2.55e-06,1.0850757
PLK2,2.77e-06,1.1218642
RIN2,2.8e-06,1.1562355
PSMD12,2.99e-06,1.0243171999999998
SMC1A,3.15e-06,1.0125597
XPA,3.2e-06,1.1721157
PDCD6,3.47e-06,1.3506461
VDAC2,3.54e-06,1.1453544
ABCD3,3.9e-06,1.141779
EPS15,4.16e-06,1.0277246
NCBP2,4.17e-06,1.4022979
PJA2,4.22e-06,1.162113
USP33,4.37e-06,1.2325574
TSC22D1,4.43e-06,1.2602794
SUMO1,4.89e-06,1.0511208
SH3BGRL,4.95e-06,1.0555091
CD9,5.5e-06,1.3957878000000001
SSBP1,6.3e-06,1.167151
PRDX6,6.58e-06,1.0356731
LGALS3,6.98e-06,1.1995978
CD59,7.43e-06,1.1178195
TMEM59,7.63e-06,1.1639202
HMGB2,8.05e-06,1.2004238
GGH,9.01e-06,1.0440121
ARL6IP5,9.19e-06,1.1425951
ATP10D,9.3e-06,1.0010798
SERPINB5,9.34e-06,1.4515156999999999
RND3,9.34e-06,1.3983377000000001
SDCBP,9.39e-06,1.1805381000000001
SEC61G,9.74e-06,1.5013578
KRIT1,9.81e-06,1.1805357
TNFAIP8,9.98e-06,1.0768732
DST,1.07e-05,1.3432181
PNRC1,1.07e-05,1.3016074
C1D,1.22e-05,1.0270726000000001
GBAS,1.27e-05,1.2138387
ASAH1,1.27e-05,1.0748538
CLEC2B,1.29e-05,1.4873831
SNORA21///RPL23P8///RPL23,1.3800000000000002e-05,1.0389818000000002
LSR,1.4300000000000002e-05,1.158766
ATP1B3,1.4300000000000002e-05,1.212759
PRDX4,1.59e-05,1.0454643
CD44,1.66e-05,1.3593587
DPYD,1.7e-05,1.1164546999999998
TERF1,1.7800000000000002e-05,1.0009989
TDP2,1.8100000000000003e-05,1.1245477
IRS1,1.85e-05,1.139014
TMEM123,2e-05,1.3825724
WEE1,2e-05,1.1344261999999998
KIAA0101,2e-05,1.0133157
SLC7A1,2.02e-05,1.3150852
CD24,2.1600000000000003e-05,1.8133526999999998
FABP5,2.49e-05,1.3354573
CAV1,2.7300000000000003e-05,1.362729
WNT5A,2.7300000000000003e-05,1.4679294
H2AFV,2.75e-05,1.0233333
LPCAT3,2.9600000000000005e-05,1.0186692
ADD3,3.05e-05,1.5301653999999998
ZNF117,3.09e-05,1.0983935
LAMP2,3.3799999999999995e-05,1.0777762
SMARCA2,4.0600000000000004e-05,1.0153753
PLAGL1,4.5299999999999997e-05,1.1785488000000002
F2R,5.8299999999999994e-05,1.1937837
FZD6,6.32e-05,1.133775
GBP1,6.51e-05,1.2588371999999999
CFHR1///CFH,7.36e-05,1.4052280000000001
NMI,7.62e-05,1.0693793
DSC2,7.63e-05,1.6016377
BTG1,8.82e-05,1.0562539
NSL1,8.950000000000001e-05,1.0963272
DPYSL2,8.950000000000001e-05,1.2407781
ME1,9.300000000000001e-05,1.0951999
KANK1,9.37e-05,1.0811482
PTPRZ1,9.429999999999999e-05,1.3720305
CASP4,0.000103,1.179159
HMGN3,0.00010400000000000001,1.1564678999999998
ID2B///ID2,0.00011100000000000001,1.1103549
F3,0.00011599999999999999,1.3282513
PPT1,0.000133,1.0185733000000001
RECQL,0.000164,1.0999045
TM4SF1,0.000173,1.1794628999999999
SEMA3C,0.000356,1.2399365
XBP1,0.000356,1.1941422
TUBA1A,0.000391,1.1342626
CLIC4,0.0004,1.0535961999999999
STAT1,0.000413,1.0077554
SRGN,0.00045700000000000005,1.5419351000000001
MYO1B,0.000558,1.1993268999999998
SEPP1,0.0005679999999999999,1.3764671
AHR,0.0007830000000000001,1.0465592
DSP,0.000897,1.0988702
AIM1,0.000958,1.132388
RGS1,0.00115,1.1047078000000001
COL17A1,0.00148,1.2616101999999998
DDX3Y,0.0017,1.5759591999999998
ITM2A,0.00278,1.0765992
SERPINB3,0.00283,1.1060463
PLXNC1,0.0034799999999999996,1.2402704
GPNMB,0.00355,1.1688177
TNC,0.0036,1.1779281000000001
FAT1,0.00428,1.0012940000000001
CSTA,0.0048,1.6117355
HOPX,0.005520000000000001,1.4631278
FOS,0.00758,1.0617655000000001
LUM,0.009640000000000001,1.0222566
