Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
EOMES,3.21E-03,1.60E-04,3.922682,0.4564,0.785149,NM_005442.2,
IL24,3.94E-03,2.01E-04,-3.858309,0.2405,-1.656737,NM_181339.1,
MASP2,4.03E-03,2.11E-04,3.845123,0.1966,0.658429,NM_139208.1,
KIR3DL3,4.07E-03,2.18E-04,3.835008,0.163,0.630795,NM_153443.3,
KLRG1,4.07E-03,2.26E-04,3.824824,0.1293,1.142569,NM_005810.3,
CX3CR1,4.07E-03,2.28E-04,3.822396,0.1212,1.08173,NM_001337.3,
ROPN1,4.90E-03,2.81E-04,3.763348,-0.0731,0.633386,NM_017578.2,
HDAC3,5.05E-03,2.96E-04,3.748629,-0.1212,0.280797,NM_003883.2,
CCR2,5.10E-03,3.09E-04,3.736143,-0.1619,1.149308,NM_001123041.2,NA
IL6,5.10E-03,3.12E-04,-3.733509,-0.1704,-1.019476,NM_000600.1,
SPO11,6.93E-03,4.33E-04,3.638902,-0.4752,0.608588,NM_198265.1,
IGLL1,7.22E-03,4.60E-04,3.621069,-0.532,0.589702,NM_020070.2,
CD160,7.38E-03,4.80E-04,3.608863,-0.5707,0.63415,NM_007053.2,
KLRD1,7.46E-03,4.95E-04,3.599774,-0.5995,0.841323,NM_002262.3,
SSX1,8.23E-03,5.56E-04,3.565331,-0.708,0.485605,NM_005635.2,
BAGE,8.33E-03,5.74E-04,3.556198,-0.7367,0.974071,NM_001187.1,NA
FADD,8.72E-03,6.22E-04,-3.532228,-0.8116,-0.975127,NM_003824.2,
IL13,8.72E-03,6.23E-04,3.531854,-0.8127,0.840517,NM_002188.2,
CCL15,9.64E-03,7.16E-04,3.490264,-0.9418,0.516915,NM_032965.3,NA
IGF2R,9.64E-03,7.22E-04,-3.487622,-0.9499,-0.27083,NM_000876.1,
LTBR,9.64E-03,7.26E-04,-3.486327,-0.9539,-0.43746,NM_002342.1,
TLR6,1.00E-02,7.67E-04,3.469492,-1.0058,0.767903,NM_006068.2,
LAMP1,1.04E-02,8.09E-04,-3.453603,-1.0545,-0.32894,NM_005561.3,
PNMA1,1.04E-02,8.24E-04,-3.448015,-1.0716,-0.447719,NM_006029.4,
SLAMF6,1.08E-02,8.69E-04,3.431896,-1.1209,0.950574,NM_001184714.1,
LY96,1.08E-02,8.81E-04,3.427916,-1.133,1.045698,NM_015364.2,
ITGA5,1.13E-02,9.33E-04,-3.410446,-1.1861,-0.692167,NM_002205.2,
PLA2G1B,1.13E-02,9.86E-04,3.393457,-1.2375,0.662633,NM_000928.2,
CCR9,1.13E-02,9.89E-04,3.392741,-1.2397,0.447043,NM_031200.1,NA
GZMK,1.13E-02,9.94E-04,3.391068,-1.2447,1.414958,NM_002104.2,
ITGA6,1.13E-02,1.00E-03,-3.387956,-1.2541,-0.662643,NM_000210.1,
HLA-DOB,1.13E-02,1.01E-03,3.387332,-1.256,0.788471,NM_002120.3,
MTMR14,1.15E-02,1.04E-03,3.377461,-1.2857,0.394211,NM_022485.3,
CCR1,1.16E-02,1.07E-03,3.369672,-1.3092,0.662944,NM_001295.2,NA
KIR_Activating_Subgroup_1,1.16E-02,1.08E-03,3.364405,-1.325,0.458403,NM_001083539.1,
CD1B,1.19E-02,1.15E-03,3.345391,-1.3819,0.5511,NM_001764.2,
PMCH,1.19E-02,1.16E-03,3.343589,-1.3873,0.481244,NM_002674.2,
INPP5D,1.19E-02,1.16E-03,3.342842,-1.3895,0.712468,NM_005541.3,
TNFSF18,1.19E-02,1.17E-03,3.340417,-1.3967,0.926297,NM_005092.2,
SH2D1A,1.32E-02,1.32E-03,3.304596,-1.5031,1.048335,NM_001114937.2,
PIN1,1.35E-02,1.36E-03,-3.294109,-1.5341,-0.309989,NM_006221.2,
LAMP2,1.36E-02,1.38E-03,-3.288786,-1.5498,-0.320729,NM_001122606.1,
MIF,1.38E-02,1.42E-03,-3.280742,-1.5735,-0.395884,NM_002415.1,
CXCR5,1.41E-02,1.47E-03,3.269396,-1.6068,1.180566,NM_001716.3,
SSX4,1.42E-02,1.51E-03,3.262232,-1.6278,0.47806,NM_005636.3,
CTSS,1.48E-02,1.60E-03,3.243652,-1.682,0.677324,NM_004079.3,
TLR1,1.48E-02,1.62E-03,3.240304,-1.6918,0.661381,NM_003263.3,
TNFRSF17,1.48E-02,1.64E-03,3.235255,-1.7065,1.072048,NM_001192.2,
IL25,1.48E-02,1.65E-03,3.233108,-1.7127,0.511057,NM_022789.2,
KIR_Inhibiting_Subgroup_2,1.48E-02,1.66E-03,3.231777,-1.7166,0.556728,NM_014511.3,
CCRL2,1.50E-02,1.70E-03,3.224287,-1.7383,0.833487,NM_003965.4,
CDKN1A,1.53E-02,1.77E-03,-3.211482,-1.7754,-0.544886,NM_000389.2,
MBL2,1.53E-02,1.78E-03,3.209963,-1.7798,0.441063,NM_000242.2,
PLAU,1.54E-02,1.82E-03,-3.20352,-1.7984,-0.706411,NM_002658.2,
C4BPA,1.54E-02,1.83E-03,3.201844,-1.8032,0.446265,NM_000715.3,NA
VEGFA,1.54E-02,1.85E-03,-3.197162,-1.8167,-0.575725,NM_001025366.1,
CD99,1.55E-02,1.88E-03,-3.19218,-1.831,-0.442194,NM_002414.3,
TICAM1,1.59E-02,1.97E-03,-3.178107,-1.8714,-0.482222,NM_014261.1,
THBD,1.59E-02,1.97E-03,-3.177842,-1.8722,-0.622366,NM_000361.2,
CD48,1.59E-02,1.99E-03,3.173822,-1.8837,0.915515,NM_001778.2,
PVR,1.59E-02,2.01E-03,-3.171169,-1.8913,-0.388656,NM_006505.3,
IL8,1.65E-02,2.12E-03,-3.153711,-1.9411,-1.100261,NM_000584.2,
FUT5,1.65E-02,2.15E-03,3.150062,-1.9515,0.66332,NM_002034.2,
CCR5,1.65E-02,2.15E-03,3.14996,-1.9518,1.033707,NM_000579.1,NA
CYFIP2,1.65E-02,2.16E-03,3.147761,-1.9581,0.68875,NM_001037332.2,
IL2RG,1.65E-02,2.20E-03,3.14162,-1.9755,0.73171,NM_000206.1,
HAMP,1.65E-02,2.21E-03,3.140787,-1.9779,0.590668,NM_021175.2,
KLRB1,1.69E-02,2.28E-03,3.130343,-2.0075,1.110358,NM_002258.2,
FCGR1A,1.73E-02,2.36E-03,3.118866,-2.0399,0.808769,NM_000566.3,
CCL16,1.73E-02,2.38E-03,3.116885,-2.0455,0.535306,NM_004590.2,NA
BID,1.75E-02,2.44E-03,3.109155,-2.0673,0.702741,NM_001196.2,NA
IL17B,1.82E-02,2.55E-03,3.094304,-2.109,0.599844,NM_014443.2,
NT5E,1.85E-02,2.61E-03,-3.08632,-2.1314,-0.748426,NM_002526.2,
KIR3DL2,1.86E-02,2.66E-03,3.08122,-2.1456,0.624979,NM_006737.2,
CREB1,1.91E-02,2.75E-03,3.070112,-2.1766,0.253845,NM_004379.3,
CXCR6,1.95E-02,2.83E-03,3.06052,-2.2033,0.962,NM_006564.1,
MAPK3,1.95E-02,2.87E-03,-3.05609,-2.2156,-0.339887,NM_001040056.1,
CTAGE1,2.01E-02,2.98E-03,3.043385,-2.2508,0.49868,NM_172241.2,
TBX21,2.03E-02,3.03E-03,3.038277,-2.2649,0.834347,NM_013351.1,
LY86,2.28E-02,3.43E-03,2.997387,-2.3772,0.84479,NM_004271.3,
RUNX1,2.31E-02,3.51E-03,-2.989221,-2.3995,-0.385508,NM_001754.4,
EBI3,2.34E-02,3.58E-03,2.98231,-2.4183,0.727635,NM_005755.2,
BCL2L1,2.46E-02,3.80E-03,2.962864,-2.471,0.343806,NM_001191.2,NA
KLRF1,2.50E-02,3.90E-03,2.953746,-2.4956,0.62056,NM_016523.1,
BTLA,2.50E-02,3.92E-03,2.952247,-2.4997,1.065353,NM_181780.2,NA
MAGEA1,2.51E-02,3.97E-03,2.948166,-2.5107,1.336042,NM_004988.4,
IFNA1,2.61E-02,4.17E-03,2.931609,-2.5552,0.377002,NM_024013.1,
AGK,2.61E-02,4.19E-03,2.930035,-2.5594,0.311774,NM_018238.3,
MAGEC1,2.67E-02,4.33E-03,2.919189,-2.5884,0.593335,NM_005462.4,
CCR6,2.67E-02,4.35E-03,2.917105,-2.594,0.81277,NM_031409.2,NA
BTK,2.67E-02,4.39E-03,2.914258,-2.6015,0.735918,NM_000061.1,NA
IRF2,2.74E-02,4.54E-03,2.90258,-2.6326,0.314052,NM_002199.3,
CD8B,2.78E-02,4.64E-03,2.895094,-2.6525,1.235684,NM_004931.3,
CCL23,2.87E-02,4.85E-03,2.88011,-2.6922,0.555096,NM_145898.1,NA
IL9,2.87E-02,4.87E-03,2.879,-2.6951,0.38234,NM_000590.1,
MERTK,2.96E-02,5.05E-03,2.866207,-2.7288,0.510475,NM_006343.2,
GZMH,3.04E-02,5.26E-03,2.852514,-2.7647,0.949476,NM_033423.3,
IL17F,3.04E-02,5.27E-03,2.851494,-2.7674,0.576215,NM_052872.3,
SYCP1,3.13E-02,5.47E-03,2.838661,-2.801,0.743751,NM_003176.2,
CCL1,3.13E-02,5.54E-03,2.834314,-2.8123,0.562966,NM_002981.1,NA
SLAMF7,3.13E-02,5.55E-03,2.834239,-2.8125,0.833089,NM_021181.3,
CD276,3.16E-02,5.63E-03,-2.828772,-2.8267,-0.447134,NM_001024736.1,
LIF,3.17E-02,5.71E-03,-2.824218,-2.8385,-0.800048,NM_002309.3,
MAP3K1,3.19E-02,5.77E-03,2.820535,-2.8481,0.300429,NM_005921.1,
HAVCR2 (TIM3),3.34E-02,6.09E-03,2.801599,-2.8971,0.707456,NM_032782.3,
TXK,3.51E-02,6.45E-03,2.781915,-2.9477,0.724215,NM_003328.1,
NFATC3,3.54E-02,6.62E-03,2.77274,-2.9712,0.295186,NM_004555.2,
ELK1,3.54E-02,6.62E-03,-2.772357,-2.9722,-0.462632,NM_005229.3,
MR1,3.54E-02,6.63E-03,2.771962,-2.9732,0.660959,NM_001531.2,
BCL10,3.60E-02,6.87E-03,-2.759462,-3.0051,-0.273833,NM_003921.2,NA
TNFSF15,3.60E-02,6.87E-03,2.759346,-3.0054,0.759874,NM_001204344.1,
TNFRSF1A,3.60E-02,6.88E-03,-2.758836,-3.0067,-0.27144,NM_001065.2,
CASP10,3.62E-02,6.98E-03,2.754026,-3.0189,0.435583,NM_032977.3,NA
PPARG,3.65E-02,7.08E-03,2.749151,-3.0313,0.855988,NM_015869.3,
LCK,3.70E-02,7.26E-03,2.740273,-3.0538,0.614488,NM_005356.2,
CNOT10,3.70E-02,7.27E-03,2.739423,-3.0559,0.336329,NM_001256741.1,
CXCL5,3.83E-02,7.57E-03,-2.725421,-3.0913,-1.24011,NM_002994.3,
SPACA3,3.83E-02,7.65E-03,2.721403,-3.1014,0.521142,NM_173847.3,
EWSR1,3.83E-02,7.66E-03,-2.72106,-3.1023,-0.204844,NM_013986.3,
JAK1,3.88E-02,7.82E-03,-2.713773,-3.1206,-0.261986,NM_002227.1,
CFP,4.12E-02,8.38E-03,2.689241,-3.1819,0.782786,NM_002621.2,
ITGAM,4.12E-02,8.41E-03,2.687956,-3.1851,0.725588,NM_000632.3,
MCAM,4.16E-02,8.55E-03,-2.681765,-3.2005,-0.379711,NM_006500.2,
CD27,4.25E-02,8.79E-03,2.671963,-3.2248,0.906598,NM_001242.4,
NOS2A,4.28E-02,8.90E-03,2.667614,-3.2356,1.198993,NM_153292.1,
IFNA7,4.47E-02,9.35E-03,2.649548,-3.2801,0.696153,NM_021057.2,
TLR10,4.50E-02,9.47E-03,2.644892,-3.2915,0.903201,NM_030956.2,
IL22RA2,4.50E-02,9.55E-03,2.64185,-3.299,0.753651,NM_181310.1,
FCF1,4.50E-02,9.61E-03,-2.639855,-3.3039,-0.248273,NM_015962.4,
PTPRC,4.50E-02,9.63E-03,2.638831,-3.3064,0.57454,NM_080921.3,
LILRB1,4.54E-02,9.79E-03,2.633054,-3.3205,0.868053,NM_001081637.1,
IFNAR1,4.57E-02,9.91E-03,2.628642,-3.3313,0.35362,NM_000629.2,
CD2,4.80E-02,1.05E-02,2.608276,-3.3809,0.937228,NM_001767.3,
PDCD1LG2,4.84E-02,1.07E-02,2.60035,-3.4001,0.725174,NM_025239.3,
KLRK1,4.84E-02,1.07E-02,2.600243,-3.4003,0.834445,NM_007360.3,
CD46,4.84E-02,1.07E-02,2.599265,-3.4027,0.215909,NM_172350.1,
CTSH,4.96E-02,1.11E-02,2.587882,-3.4302,0.477898,NM_004390.3,
IL3,5.11E-02,1.15E-02,2.57292,-3.4661,0.432004,NM_000588.3,
MEFV,5.11E-02,1.15E-02,-2.572545,-3.467,-0.694013,NM_000243.2,
C9,5.16E-02,1.17E-02,2.566813,-3.4807,0.518282,NM_001737.3,NA
CXCL3,5.16E-02,1.18E-02,-2.565053,-3.4849,-0.707451,NM_002090.2,
IL5,5.21E-02,1.20E-02,2.559294,-3.4987,0.342214,NM_000879.2,
ICAM2,5.22E-02,1.20E-02,2.557011,-3.5041,0.579549,NM_000873.3,
CD3E,5.25E-02,1.22E-02,2.552339,-3.5152,0.728915,NM_000733.2,
GZMA,5.27E-02,1.23E-02,2.548803,-3.5237,0.812772,NM_006144.2,
ITGB3,5.32E-02,1.25E-02,-2.542717,-3.5381,-0.66276,NM_000212.2,
ABCB1,5.32E-02,1.26E-02,2.5402,-3.5441,0.566467,NM_000927.3,NA
CRP,5.32E-02,1.26E-02,2.539744,-3.5451,0.420669,NM_000567.2,
SEMG1,5.34E-02,1.27E-02,2.535859,-3.5543,0.492439,NM_003007.2,
ELANE,5.36E-02,1.29E-02,2.532655,-3.5619,0.478665,NM_001972.2,
CD79A,5.79E-02,1.40E-02,2.50154,-3.6351,1.029546,NM_001783.3,
CD53,5.84E-02,1.41E-02,2.496664,-3.6464,0.630254,NM_001040033.1,
C3AR1,5.84E-02,1.42E-02,2.494607,-3.6512,0.650601,NM_004054.2,NA
TARP,5.89E-02,1.44E-02,2.489352,-3.6635,0.723851,NM_001003799.1,
CEACAM8,5.96E-02,1.47E-02,2.483114,-3.678,0.534034,NM_001816.3,
IL17RB,6.12E-02,1.52E-02,2.469822,-3.7088,0.995771,NM_018725.3,
CXCL2,6.12E-02,1.53E-02,-2.467453,-3.7143,-0.634944,NM_002089.3,
FEZ1,6.12E-02,1.53E-02,-2.466849,-3.7157,-0.603385,NM_005103.4,
CCL18,6.12E-02,1.54E-02,2.465037,-3.7198,0.946261,NM_002988.2,NA
FUT7,6.16E-02,1.56E-02,2.460508,-3.7303,0.748547,NM_004479.3,
TIGIT,6.25E-02,1.59E-02,2.453162,-3.7472,0.704134,NM_173799.2,
CXCR3,6.28E-02,1.60E-02,2.449728,-3.7551,0.7798,NM_001504.1,
APP,6.34E-02,1.63E-02,-2.443276,-3.7699,-0.363552,NM_000484.3,NA
NEG_E,6.34E-02,1.63E-02,-2.44211,-3.7725,-0.466892,,ERCC_00098.1
GZMB,6.38E-02,1.65E-02,2.437875,-3.7822,0.687079,NM_004131.3,
TLR3,6.41E-02,1.68E-02,2.431809,-3.7961,0.535648,NM_003265.2,
HLA-DRA,6.41E-02,1.69E-02,2.42894,-3.8026,0.534766,NM_019111.3,
SLC11A1,6.41E-02,1.69E-02,-2.428795,-3.8029,-0.591526,NM_000578.2,
BIRC5,6.41E-02,1.69E-02,-2.428355,-3.8039,-0.293991,NM_001168.2,NA
ERCC3,6.42E-02,1.72E-02,-2.422958,-3.8162,-0.20422,NM_000122.1,
F2RL1,6.42E-02,1.72E-02,-2.422776,-3.8166,-0.839895,NM_005242.3,
STAT5B,6.42E-02,1.72E-02,2.422581,-3.8171,0.274279,NM_012448.3,
EGR1,6.53E-02,1.76E-02,-2.413832,-3.8369,-0.620076,NM_001964.2,
HLA-DPA1,6.57E-02,1.78E-02,2.409973,-3.8456,0.574147,NM_033554.2,
CCL20,6.63E-02,1.80E-02,2.404194,-3.8587,0.852749,NM_004591.1,NA
LY9,6.92E-02,1.89E-02,2.385836,-3.9,0.832342,NM_001033667.1,
FCER2,6.94E-02,1.90E-02,2.383042,-3.9063,0.786651,NM_002002.4,
IFI27,6.98E-02,1.93E-02,-2.377642,-3.9183,-0.627392,NM_005532.3,
CD4,6.98E-02,1.93E-02,2.377282,-3.9191,0.527888,NM_000616.4,
IL22RA1,7.13E-02,1.98E-02,-2.367199,-3.9416,-0.484945,NM_021258.2,
IFNB1,7.17E-02,2.00E-02,2.363434,-3.95,0.449981,NM_002176.2,
PRF1,7.18E-02,2.01E-02,2.361089,-3.9552,0.583585,NM_005041.3,
IL4R,7.19E-02,2.03E-02,-2.358571,-3.9608,-0.320537,NM_000418.2,
IL12A,7.26E-02,2.06E-02,2.351809,-3.9758,0.630398,NM_000882.2,
CD3D,7.26E-02,2.07E-02,2.350947,-3.9777,0.798579,NM_000732.4,
CHIT1,7.40E-02,2.11E-02,2.341972,-3.9975,0.809319,NM_003465.2,
RORC,7.64E-02,2.20E-02,2.326777,-4.0309,0.607546,NM_001001523.1,
ZNF205,7.64E-02,2.20E-02,-2.326053,-4.0325,-0.340144,NM_001031686.1,
CD24,7.71E-02,2.24E-02,-2.319354,-4.0472,-0.574085,NM_013230.2,
CD59,7.71E-02,2.24E-02,-2.318471,-4.0491,-0.297544,NM_000611.4,
CD33,7.71E-02,2.26E-02,2.315746,-4.055,0.53668,NM_001177608.1,
CD3EAP,7.71E-02,2.27E-02,-2.313832,-4.0592,-0.320562,NM_012099.1,
MFGE8,7.71E-02,2.27E-02,-2.313302,-4.0604,-0.290819,NM_001114614.1,
MAF,8.20E-02,2.43E-02,-2.28641,-4.1187,-0.383939,NM_005360.4,
C6,8.20E-02,2.44E-02,2.285311,-4.1211,0.545668,NM_000065.2,NA
MME,8.25E-02,2.47E-02,-2.280268,-4.1319,-0.753769,NM_000902.2,
TLR5,8.25E-02,2.47E-02,2.279494,-4.1336,0.647686,NM_003268.3,
CD86,8.32E-02,2.50E-02,2.27466,-4.144,0.483619,NM_175862.3,
CASP1,8.35E-02,2.54E-02,2.268941,-4.1563,0.441792,NM_001223.3,NA
LYN,8.35E-02,2.54E-02,2.268104,-4.1581,0.501798,NM_002350.1,
CCND3,8.35E-02,2.55E-02,-2.267803,-4.1587,-0.298098,NM_001760.2,NA
TICAM2,8.50E-02,2.60E-02,2.258885,-4.1778,0.445726,NM_021649.4,
REL,8.51E-02,2.62E-02,-2.25684,-4.1821,-0.223247,NM_002908.2,
SH2B2,8.77E-02,2.71E-02,-2.242855,-4.2119,-0.347073,NM_020979.3,
LTA,8.87E-02,2.75E-02,2.236792,-4.2247,0.599634,NM_000595.2,
IRF7,9.11E-02,2.86E-02,-2.220541,-4.259,-0.393444,NM_001572.3,
PAX5,9.11E-02,2.87E-02,2.21991,-4.2603,0.777704,NM_016734.1,
TNFRSF14,9.11E-02,2.87E-02,2.219334,-4.2615,0.352654,NM_003820.2,
C8G,9.11E-02,2.87E-02,2.219191,-4.2618,0.852534,NM_000606.2,NA
CMKLR1,9.11E-02,2.88E-02,2.217747,-4.2649,0.501074,NM_004072.1,
LAG3,9.14E-02,2.90E-02,2.214589,-4.2715,0.545068,NM_002286.5,
TLK2,9.21E-02,2.94E-02,-2.21004,-4.281,-0.172274,NM_006852.2,
CD84,9.22E-02,2.95E-02,2.207868,-4.2855,0.604758,NM_001184879.1,
CD19,9.30E-02,2.99E-02,2.202357,-4.2971,0.813162,NM_001770.4,
TYK2,9.37E-02,3.02E-02,2.19788,-4.3064,0.304097,NM_003331.3,
IGF1R,9.48E-02,3.07E-02,-2.191236,-4.3202,-0.259353,NM_000875.2,
C7,9.49E-02,3.09E-02,2.189464,-4.3239,0.998279,NM_000587.2,NA
MAP3K7,9.58E-02,3.13E-02,2.183972,-4.3353,0.171479,NM_145333.1,
TREM1,9.60E-02,3.16E-02,-2.180307,-4.3428,-0.830048,NM_018643.3,
ICOS,9.60E-02,3.16E-02,2.179596,-4.3443,0.646953,NM_012092.2,
LCP1,9.82E-02,3.25E-02,2.168621,-4.3669,0.455065,NM_002298.4,
IL21R,9.89E-02,3.28E-02,2.16422,-4.376,0.633132,NM_021798.2,
HLA-DMB,9.99E-02,3.33E-02,2.158315,-4.3881,0.50099,NM_002118.3,
TMEFF2,1.00E-01,3.35E-02,2.155094,-4.3947,0.480353,NM_016192.2,
CD38,1.00E-01,3.36E-02,2.154138,-4.3966,0.662986,NM_001775.2,
PASD1,1.00E-01,3.38E-02,2.151767,-4.4015,0.377379,NM_173493.2,
CD9,1.00E-01,3.39E-02,2.150707,-4.4036,0.300887,NM_001769.2,
PRM1,1.05E-01,3.55E-02,2.130716,-4.4443,0.353346,NM_002761.2,
ICAM3,1.07E-01,3.64E-02,2.121083,-4.4637,0.357995,NM_002162.3,
IL7,1.09E-01,3.72E-02,2.111456,-4.4831,0.535225,NM_000880.2,
JAK2,1.09E-01,3.74E-02,2.109673,-4.4867,0.38271,NM_004972.2,
CD247,1.09E-01,3.76E-02,2.106715,-4.4926,0.523518,NM_198053.1,
BST1,1.11E-01,3.83E-02,2.099567,-4.5069,0.529545,NM_004334.2,NA
HLA-DPB1,1.16E-01,4.04E-02,2.076686,-4.5524,0.526578,NM_002121.4,
NFKB1,1.16E-01,4.04E-02,2.076276,-4.5532,0.317421,NM_003998.2,
MICA,1.17E-01,4.08E-02,-2.071655,-4.5623,-0.293879,NM_000247.1,
ABL1,1.18E-01,4.12E-02,-2.067668,-4.5702,-0.176348,NM_005157.3,NA
TIRAP,1.21E-01,4.29E-02,-2.050871,-4.6031,-0.248737,NM_148910.2,
CD6,1.21E-01,4.29E-02,2.050196,-4.6044,0.553913,NM_006725.3,
TNFRSF18,1.21E-01,4.30E-02,-2.049789,-4.6052,-0.483256,NM_004195.2,
TRIM39,1.21E-01,4.31E-02,-2.048082,-4.6086,-0.262398,NM_021253.3,
MAP3K5,1.22E-01,4.34E-02,2.045248,-4.6141,0.213524,NM_005923.3,
FLT3,1.24E-01,4.43E-02,2.036864,-4.6304,0.550418,NM_004119.1,
UBC,1.25E-01,4.49E-02,-2.030655,-4.6425,-0.17342,NM_021009.3,
C8B,1.25E-01,4.51E-02,2.028635,-4.6464,0.381306,NM_000066.2,NA
VCAM1,1.25E-01,4.55E-02,2.025375,-4.6527,0.829695,NM_001078.3,
CD34,1.27E-01,4.62E-02,2.018614,-4.6657,0.38356,NM_001025109.1,
SBNO2,1.30E-01,4.75E-02,-2.00581,-4.6903,-0.219233,NM_014963.2,
TNFRSF11A,1.31E-01,4.81E-02,2.000938,-4.6996,0.53861,NM_003839.2,
SMAD2,1.31E-01,4.81E-02,2.000349,-4.7007,0.226918,NM_005901.5,
SIGIRR,1.32E-01,4.86E-02,1.996341,-4.7084,0.39446,NM_021805.2,
CD96,1.35E-01,5.00E-02,1.983821,-4.7322,0.432405,NM_005816.4,
MS4A2,1.36E-01,5.07E-02,1.97723,-4.7447,0.586624,NM_000139.3,
CXCL13,1.36E-01,5.08E-02,1.976934,-4.7452,0.75156,NM_006419.2,
CD274,1.39E-01,5.18E-02,1.967894,-4.7623,0.531531,NM_014143.3,
CD8A,1.39E-01,5.22E-02,1.964482,-4.7687,0.648371,NM_001768.5,
CXCR4,1.41E-01,5.29E-02,1.958886,-4.7792,0.524311,NM_003467.2,
TNFAIP3,1.41E-01,5.33E-02,-1.955521,-4.7855,-0.360489,NM_006290.2,
TNFSF13B,1.41E-01,5.33E-02,1.955117,-4.7862,0.507875,NM_006573.4,
CTCFL,1.43E-01,5.43E-02,1.946873,-4.8016,0.418103,NM_001269042.1,
CD40LG,1.44E-01,5.50E-02,1.941149,-4.8123,0.561106,NM_000074.2,
PSMD7,1.45E-01,5.56E-02,-1.936272,-4.8213,-0.210631,NM_002811.3,
ATG5,1.45E-01,5.59E-02,1.934412,-4.8248,0.184205,NM_004849.2,NA
CD63,1.47E-01,5.65E-02,-1.929334,-4.8342,-0.227351,NM_001780.4,
CD58,1.47E-01,5.67E-02,1.927615,-4.8373,0.253348,NM_001779.2,
RRAD,1.50E-01,5.81E-02,-1.916505,-4.8578,-0.721275,NM_004165.1,
MNX1,1.50E-01,5.82E-02,1.915817,-4.8591,0.426019,NM_005515.3,
CD1D,1.50E-01,5.87E-02,1.911924,-4.8662,0.430814,NM_001766.3,
IFNL2,1.51E-01,5.90E-02,1.910035,-4.8696,0.349129,NM_172138.1,
