Gene,adj.P.Val,P.Value,t,B,logFC,GB_ACC,SPOT_ID
ITGB4,2.98E-02,1.42E-03,-3.28077,-1.4249,-0.53591,NM_001005731.1,
THBS1,2.98E-02,1.45E-03,-3.27522,-1.441,-0.67517,NM_003246.2,
CD1B,5.06E-02,2.52E-03,3.0986,-1.944,0.50385,NM_001764.2,
SSX4,5.50E-02,2.80E-03,3.06343,-2.0414,0.4425,NM_005636.3,
IFNG,5.70E-02,2.98E-03,3.04345,-2.0964,0.8866,NM_000619.2,
RUNX1,6.26E-02,3.42E-03,-2.9984,-2.2191,-0.37895,NM_001754.4,
CCR9,6.26E-02,3.56E-03,2.98495,-2.2555,0.39005,NM_031200.1,NA
CD1E,6.26E-02,3.57E-03,2.98332,-2.2599,0.58019,NM_001042583.1,
SPO11,6.26E-02,3.59E-03,2.98131,-2.2653,0.49823,NM_198265.1,
IL13,6.48E-02,3.80E-03,2.96265,-2.3155,0.70241,NM_002188.2,
MAGEC1,6.63E-02,3.97E-03,2.94792,-2.3549,0.58673,NM_005462.4,
PNMA1,6.78E-02,4.15E-03,-2.93325,-2.394,-0.37888,NM_006029.4,
ITGAE,6.79E-02,4.33E-03,2.91904,-2.4317,0.51974,NM_002208.4,
MAGEA1,6.79E-02,4.42E-03,2.91147,-2.4517,1.29408,NM_004988.4,
FADD,6.79E-02,4.50E-03,-2.90581,-2.4667,-0.80038,NM_003824.2,
CD44,6.79E-02,4.50E-03,-2.9055,-2.4675,-0.4278,NM_001001392.1,
SSX1,6.79E-02,4.59E-03,2.89904,-2.4845,0.39456,NM_005635.2,
EGR1,7.20E-02,5.03E-03,-2.86777,-2.5665,-0.71394,NM_001964.2,
PLA2G1B,7.20E-02,5.05E-03,2.86646,-2.5699,0.55673,NM_000928.2,
ITGB1,7.44E-02,5.32E-03,-2.84877,-2.6159,-0.3307,NM_033666.2,
LAMP2,7.60E-02,5.53E-03,-2.83548,-2.6503,-0.27456,NM_001122606.1,
IL17F,7.74E-02,5.73E-03,2.82294,-2.6826,0.55944,NM_052872.3,
CD99,8.01E-02,6.17E-03,-2.79717,-2.7488,-0.38389,NM_002414.3,
EWSR1,8.01E-02,6.19E-03,-2.79604,-2.7516,-0.20612,NM_013986.3,
IL25,8.01E-02,6.23E-03,2.79394,-2.757,0.43806,NM_022789.2,
ICAM2,8.39E-02,6.74E-03,2.76618,-2.8275,0.61124,NM_000873.3,
RELA,8.39E-02,6.74E-03,-2.76617,-2.8275,-0.28195,NM_021975.2,
EGR2,8.50E-02,7.02E-03,-2.75179,-2.8639,-0.72611,NM_000399.3,
PLAUR,8.50E-02,7.12E-03,-2.74682,-2.8764,-0.48029,NM_001005376.1,
CCL15,8.50E-02,7.15E-03,2.74535,-2.8801,0.40693,NM_032965.3,NA
HDAC3,9.08E-02,7.76E-03,2.71666,-2.9519,0.20567,NM_003883.2,
IGLL1,9.47E-02,8.47E-03,2.68535,-3.0295,0.4401,NM_020070.2,
C4BPA,9.47E-02,8.49E-03,2.68458,-3.0314,0.37186,NM_000715.3,NA
CXCR6,9.47E-02,8.58E-03,2.68056,-3.0413,0.83388,NM_006564.1,
CASP10,9.47E-02,8.74E-03,2.67382,-3.0579,0.41531,NM_032977.3,NA
C8B,9.47E-02,8.80E-03,2.67161,-3.0633,0.48522,NM_000066.2,NA
CRP,9.47E-02,8.93E-03,2.66636,-3.0762,0.43152,NM_000567.2,
BAGE,9.47E-02,9.03E-03,2.66233,-3.0861,0.73267,NM_001187.1,NA
CD274,9.47E-02,9.11E-03,2.65911,-3.0939,0.69333,NM_014143.3,
BCL2L1,9.47E-02,9.23E-03,2.65444,-3.1053,0.30437,NM_001191.2,NA
IGF2R,9.47E-02,9.40E-03,-2.64775,-3.1217,-0.20644,NM_000876.1,
SLAMF7,9.47E-02,9.42E-03,2.6469,-3.1237,0.76598,NM_021181.3,
MIF,9.52E-02,9.59E-03,-2.64038,-3.1396,-0.31776,NM_002415.1,
PMCH,9.76E-02,1.00E-02,2.62436,-3.1784,0.3775,NM_002674.2,
CD160,9.76E-02,1.01E-02,2.62219,-3.1837,0.46423,NM_007053.2,
CCL16,9.79E-02,1.02E-02,2.61673,-3.1969,0.44624,NM_004590.2,NA
IL1RAP,1.05E-01,1.12E-02,-2.58515,-3.2726,-0.38329,NM_002182.2,
CCR2,1.06E-01,1.13E-02,2.57954,-3.286,0.80343,NM_001123041.2,NA
LTBR,1.06E-01,1.14E-02,-2.5757,-3.2951,-0.32482,NM_002342.1,
MBL2,1.07E-01,1.17E-02,2.56675,-3.3164,0.3516,NM_000242.2,
KIR3DL2,1.10E-01,1.22E-02,2.55328,-3.3483,0.51448,NM_006737.2,
EOMES,1.17E-01,1.31E-02,2.52467,-3.4155,0.51553,NM_005442.2,
CTAGE1,1.31E-01,1.50E-02,2.47582,-3.5287,0.40335,NM_172241.2,
RORC,1.31E-01,1.51E-02,2.47137,-3.5389,0.63029,NM_001001523.1,
ERCC3,1.31E-01,1.53E-02,-2.46822,-3.5461,-0.20384,NM_000122.1,
CD63,1.32E-01,1.55E-02,-2.46151,-3.5615,-0.28125,NM_001780.4,
IFNB1,1.36E-01,1.61E-02,2.44823,-3.5918,0.45594,NM_002176.2,
CASP1,1.36E-01,1.65E-02,2.43836,-3.6142,0.46355,NM_001223.3,NA
CXCR5,1.36E-01,1.65E-02,2.43795,-3.6151,0.88149,NM_001716.3,
GZMA,1.46E-01,1.81E-02,2.40301,-3.6938,0.75339,NM_006144.2,
ROPN1,1.46E-01,1.81E-02,2.40233,-3.6953,0.41149,NM_017578.2,
CCL23,1.51E-01,1.89E-02,2.3863,-3.7311,0.45617,NM_145898.1,NA
IFNA1,1.51E-01,1.92E-02,2.38051,-3.7439,0.30416,NM_024013.1,
HLA-DOB,1.51E-01,1.94E-02,2.37501,-3.7561,0.55632,NM_002120.3,
SLAMF6,1.51E-01,1.94E-02,2.37483,-3.7565,0.66281,NM_001184714.1,
MAP3K1,1.54E-01,2.01E-02,2.3626,-3.7835,0.24946,NM_005921.1,
ELANE,1.54E-01,2.03E-02,2.35795,-3.7938,0.43848,NM_001972.2,
TGFB1,1.54E-01,2.06E-02,-2.35209,-3.8067,-0.30253,NM_000660.3,
CCR1,1.54E-01,2.07E-02,2.34965,-3.812,0.46522,NM_001295.2,NA
CEACAM8,1.54E-01,2.09E-02,2.34668,-3.8185,0.4961,NM_001816.3,
IL5,1.60E-01,2.20E-02,2.32631,-3.863,0.30653,NM_000879.2,
IL9,1.60E-01,2.21E-02,2.32469,-3.8665,0.30668,NM_000590.1,
CCRL2,1.60E-01,2.23E-02,2.32087,-3.8748,0.60155,NM_003965.4,
TNFSF18,1.60E-01,2.24E-02,2.31941,-3.878,0.64709,NM_005092.2,
CXCL2,1.69E-01,2.39E-02,-2.29387,-3.933,-0.58066,NM_002089.3,
REL,1.77E-01,2.52E-02,-2.27149,-3.9809,-0.22026,NM_002908.2,
LILRB1,1.77E-01,2.56E-02,2.26585,-3.9929,0.73812,NM_001081637.1,
BIRC5,1.77E-01,2.57E-02,-2.26456,-3.9956,-0.26973,NM_001168.2,NA
TNFRSF18,1.78E-01,2.63E-02,-2.2544,-4.0171,-0.51867,NM_004195.2,
SH2D1A,1.78E-01,2.66E-02,2.25068,-4.0249,0.71863,NM_001114937.2,
GZMK,1.78E-01,2.66E-02,2.25013,-4.0261,0.9474,NM_002104.2,
ZKSCAN5,1.78E-01,2.68E-02,-2.24709,-4.0325,-0.31224,NM_014569.3,
TIRAP,1.81E-01,2.75E-02,-2.23688,-4.054,-0.26496,NM_148910.2,
TNFRSF17,1.81E-01,2.79E-02,2.23061,-4.0671,0.74275,NM_001192.2,
CCR5,1.81E-01,2.81E-02,2.22807,-4.0725,0.73299,NM_000579.1,NA
CDKN1A,1.81E-01,2.83E-02,-2.22502,-4.0788,-0.37921,NM_000389.2,
PPARG,1.81E-01,2.84E-02,2.22287,-4.0833,0.6865,NM_015869.3,
FUT5,1.81E-01,2.87E-02,2.21938,-4.0906,0.46863,NM_002034.2,
NEG_E,1.82E-01,2.91E-02,-2.21365,-4.1025,-0.41682,,ERCC_00098.1
AGK,1.82E-01,2.92E-02,2.21225,-4.1054,0.23477,NM_018238.3,
INPP5D,1.83E-01,2.99E-02,2.20302,-4.1246,0.47363,NM_005541.3,
CFP,1.83E-01,2.99E-02,2.20211,-4.1265,0.63511,NM_002621.2,
GZMH,1.84E-01,3.10E-02,2.18809,-4.1554,0.72484,NM_033423.3,
HLA-DRB4,1.84E-01,3.10E-02,2.18728,-4.157,1.44509,NM_021983.4,
KLRG1,1.84E-01,3.11E-02,2.18683,-4.158,0.66918,NM_005810.3,
CD48,1.84E-01,3.11E-02,2.18679,-4.158,0.63335,NM_001778.2,
IL24,1.86E-01,3.15E-02,-2.18089,-4.1702,-0.96043,NM_181339.1,
CCR6,1.88E-01,3.22E-02,2.17251,-4.1873,0.60365,NM_031409.2,NA
NFATC3,1.88E-01,3.24E-02,2.16898,-4.1945,0.22956,NM_004555.2,
CXCL3,1.88E-01,3.26E-02,-2.16623,-4.2001,-0.59064,NM_002090.2,
LY86,1.89E-01,3.30E-02,2.1622,-4.2083,0.60917,NM_004271.3,
ITGA5,1.90E-01,3.37E-02,-2.1525,-4.228,-0.44203,NM_002205.2,
MTMR14,1.90E-01,3.38E-02,2.15219,-4.2287,0.25401,NM_022485.3,
TLK2,1.94E-01,3.50E-02,-2.13655,-4.2603,-0.16363,NM_006852.2,
CD3G,1.94E-01,3.51E-02,2.13591,-4.2615,0.67934,NM_000073.2,
CREB1,1.94E-01,3.52E-02,2.13492,-4.2635,0.17708,NM_004379.3,
LAMP1,2.04E-01,3.72E-02,-2.11096,-4.3115,-0.204,NM_005561.3,
TLR10,2.11E-01,3.89E-02,2.09229,-4.3485,0.70873,NM_030956.2,
TXK,2.11E-01,3.91E-02,2.0905,-4.352,0.54172,NM_003328.1,
TARP,2.14E-01,4.00E-02,2.08005,-4.3726,0.5979,NM_001003799.1,
IRF2,2.14E-01,4.05E-02,2.07485,-4.3828,0.22435,NM_002199.3,
CX3CR1,2.14E-01,4.06E-02,2.07418,-4.3841,0.60261,NM_001337.3,
KLRD1,2.14E-01,4.06E-02,2.07374,-4.385,0.49403,NM_002262.3,
TLR6,2.15E-01,4.11E-02,2.06867,-4.3949,0.46488,NM_006068.2,
KLRC2,2.19E-01,4.21E-02,2.05853,-4.4147,0.69977,NM_002260.3,
ITGA6,2.19E-01,4.25E-02,-2.0547,-4.4221,-0.40715,NM_000210.1,
IL6,2.19E-01,4.27E-02,-2.05246,-4.4265,-0.57394,NM_000600.1,
BST1,2.27E-01,4.46E-02,2.03355,-4.463,0.50325,NM_004334.2,NA
SMAD3,2.35E-01,4.64E-02,-2.01665,-4.4954,-0.26645,NM_005902.3,
CXCL5,2.35E-01,4.67E-02,-2.01343,-4.5015,-0.91194,NM_002994.3,
LTA,2.35E-01,4.70E-02,2.01104,-4.5061,0.53068,NM_000595.2,
FN1,2.38E-01,4.81E-02,-2.00049,-4.5261,-0.74756,NM_212482.1,
KLRB1,2.38E-01,4.84E-02,1.99842,-4.53,0.71348,NM_002258.2,
NOS2A,2.41E-01,4.93E-02,1.99003,-4.5459,0.88946,NM_153292.1,
VEGFA,2.51E-01,5.19E-02,-1.96747,-4.5882,-0.35755,NM_001025366.1,
CD59,2.51E-01,5.22E-02,-1.9648,-4.5932,-0.24895,NM_000611.4,
CD2,2.51E-01,5.23E-02,1.96404,-4.5946,0.70115,NM_001767.3,
CTSS,2.56E-01,5.35E-02,1.95341,-4.6143,0.41229,NM_004079.3,
THBD,2.59E-01,5.45E-02,-1.94569,-4.6286,-0.38449,NM_000361.2,
JAK2,2.60E-01,5.55E-02,1.93763,-4.6435,0.34562,NM_004972.2,
CXCR2,2.60E-01,5.56E-02,1.93681,-4.645,0.55595,NM_001557.2,
IRF7,2.60E-01,5.59E-02,-1.93415,-4.6499,-0.33776,NM_001572.3,
SYCP1,2.60E-01,5.65E-02,1.92899,-4.6594,0.50538,NM_003176.2,
KIR_Inhibiting_Subgroup_2,2.60E-01,5.67E-02,1.92796,-4.6612,0.33576,NM_014511.3,
IL3,2.60E-01,5.67E-02,1.92766,-4.6618,0.32157,NM_000588.3,
SPACA3,2.60E-01,5.71E-02,1.92434,-4.6679,0.36745,NM_173847.3,
TLR5,2.66E-01,5.93E-02,1.90705,-4.6993,0.5349,NM_003268.3,
SH2B2,2.66E-01,5.95E-02,-1.90571,-4.7018,-0.29096,NM_020979.3,
LRP1,2.66E-01,5.96E-02,-1.90533,-4.7025,-0.23627,NM_002332.2,
PRM1,2.66E-01,5.97E-02,1.90429,-4.7043,0.31085,NM_002761.2,
PLAU,2.69E-01,6.08E-02,-1.89609,-4.7192,-0.42255,NM_002658.2,
SEMG1,2.76E-01,6.30E-02,1.87986,-4.7483,0.36266,NM_003007.2,
C6,2.76E-01,6.32E-02,1.87842,-4.7509,0.44305,NM_000065.2,NA
HAMP,2.76E-01,6.35E-02,1.87599,-4.7552,0.35607,NM_021175.2,
MFGE8,2.76E-01,6.36E-02,-1.8752,-4.7566,-0.23311,NM_001114614.1,
KLRF1,2.78E-01,6.46E-02,1.86828,-4.769,0.39414,NM_016523.1,
TLR3,2.78E-01,6.50E-02,1.86542,-4.7741,0.40731,NM_003265.2,
TICAM1,2.78E-01,6.52E-02,-1.86429,-4.7761,-0.28588,NM_014261.1,
EBI3,2.81E-01,6.62E-02,1.85703,-4.7889,0.45539,NM_005755.2,
MNX1,2.87E-01,6.82E-02,1.8431,-4.8135,0.40216,NM_005515.3,
IL17B,2.87E-01,6.83E-02,1.84239,-4.8147,0.3602,NM_014443.2,
HAVCR2 (TIM3),2.94E-01,7.05E-02,1.82791,-4.84,0.46195,NM_032782.3,
ITGB3,2.96E-01,7.18E-02,-1.8192,-4.8552,-0.47161,NM_000212.2,
TNFRSF1A,2.96E-01,7.22E-02,-1.81677,-4.8594,-0.17885,NM_001065.2,
JAK1,2.96E-01,7.25E-02,-1.81518,-4.8622,-0.17515,NM_002227.1,
TLR1,2.96E-01,7.25E-02,1.81503,-4.8624,0.37535,NM_003263.3,
MAP3K5,2.97E-01,7.32E-02,1.81043,-4.8704,0.18612,NM_005923.3,
BCL6,2.99E-01,7.42E-02,-1.80408,-4.8813,-0.20637,NM_001706.2,NA
IL22RA2,2.99E-01,7.47E-02,1.80077,-4.887,0.5123,NM_181310.1,
KLRK1,2.99E-01,7.47E-02,1.80061,-4.8873,0.57566,NM_007360.3,
BTK,3.00E-01,7.58E-02,1.79412,-4.8984,0.45503,NM_000061.1,NA
CCR4,3.00E-01,7.58E-02,1.79405,-4.8985,0.4986,NM_005508.4,NA
CD276,3.05E-01,7.77E-02,-1.78242,-4.9184,-0.28244,NM_001024736.1,
CD8B,3.05E-01,7.79E-02,1.78093,-4.9209,0.76317,NM_004931.3,
SLC11A1,3.07E-01,7.86E-02,-1.77676,-4.928,-0.42957,NM_000578.2,
ABL1,3.07E-01,7.91E-02,-1.77363,-4.9333,-0.14917,NM_005157.3,NA
CCL18,3.09E-01,7.99E-02,1.76906,-4.9411,0.67474,NM_002988.2,NA
CXCR3,3.14E-01,8.19E-02,1.75699,-4.9614,0.55563,NM_001504.1,
PRF1,3.14E-01,8.20E-02,1.75662,-4.962,0.43051,NM_005041.3,
GZMB,3.19E-01,8.38E-02,1.74622,-4.9794,0.4889,NM_004131.3,
CASP8,3.21E-01,8.49E-02,1.73992,-4.9899,0.22027,NM_001228.4,NA
IGF1R,3.21E-01,8.52E-02,-1.73835,-4.9925,-0.20342,NM_000875.2,
LAG3,3.24E-01,8.62E-02,1.7324,-5.0024,0.42163,NM_002286.5,
F2RL1,3.25E-01,8.72E-02,-1.72706,-5.0112,-0.59473,NM_005242.3,
CREBBP,3.25E-01,8.77E-02,-1.72449,-5.0155,-0.29935,NM_004380.2,
ICAM3,3.25E-01,8.88E-02,1.71832,-5.0257,0.28634,NM_002162.3,
EIF2B4,3.25E-01,8.88E-02,1.71812,-5.026,0.14029,NM_172195.3,
FCF1,3.25E-01,8.90E-02,-1.71742,-5.0271,-0.16142,NM_015962.4,
IL2RG,3.25E-01,8.90E-02,1.71718,-5.0275,0.40473,NM_000206.1,
BCL10,3.25E-01,8.99E-02,-1.71231,-5.0355,-0.17032,NM_003921.2,NA
MAPK11,3.25E-01,9.01E-02,-1.71128,-5.0372,-0.32597,NM_002751.5,
CD3D,3.31E-01,9.20E-02,1.70081,-5.0543,0.57322,NM_000732.4,
CTSH,3.31E-01,9.25E-02,1.69836,-5.0583,0.31294,NM_004390.3,
CCL5,3.32E-01,9.32E-02,1.69461,-5.0644,0.48981,NM_002985.2,NA
IL8,3.34E-01,9.42E-02,-1.68945,-5.0727,-0.59689,NM_000584.2,
BLNK,3.50E-01,9.90E-02,1.66504,-5.112,0.41244,NM_013314.2,NA
CCND3,3.53E-01,1.00E-01,-1.65786,-5.1234,-0.21606,NM_001760.2,NA
IFNA7,3.62E-01,1.03E-01,1.64382,-5.1456,0.43193,NM_021057.2,
MEF2C,3.63E-01,1.04E-01,1.63932,-5.1527,0.4213,NM_002397.3,
ATG5,3.64E-01,1.05E-01,1.63656,-5.1571,0.1536,NM_004849.2,NA
DUSP4,3.69E-01,1.07E-01,-1.62586,-5.1738,-0.3296,NM_057158.2,
STAT5B,3.69E-01,1.08E-01,1.62124,-5.181,0.18274,NM_012448.3,
NFATC4,3.69E-01,1.08E-01,-1.62054,-5.1821,-0.29298,NM_001136022.2,
PASD1,3.69E-01,1.08E-01,1.62004,-5.1829,0.28113,NM_173493.2,
IL6R,3.71E-01,1.09E-01,-1.61614,-5.189,-0.20611,NM_000565.2,
FCGR2B,3.79E-01,1.12E-01,1.60284,-5.2095,0.34378,NM_001002273.1,
ITGAM,3.80E-01,1.13E-01,1.59894,-5.2155,0.43235,NM_000632.3,
ECSIT,3.80E-01,1.14E-01,-1.5942,-5.2228,-0.17373,NM_001142464.2,
TMEFF2,3.80E-01,1.15E-01,1.5911,-5.2275,0.35105,NM_016192.2,
NRP1,3.80E-01,1.15E-01,-1.58832,-5.2318,-0.26134,NM_003873.5,
BTLA,3.80E-01,1.16E-01,1.58337,-5.2393,0.57638,NM_181780.2,NA
PVR,3.80E-01,1.16E-01,-1.58319,-5.2396,-0.19701,NM_006505.3,
ARG2,3.80E-01,1.17E-01,1.58118,-5.2427,0.43063,NM_001172.3,NA
TRAF6,3.80E-01,1.17E-01,-1.58108,-5.2428,-0.14999,NM_145803.1,
CD9,3.80E-01,1.18E-01,1.5787,-5.2464,0.2187,NM_001769.2,
TOLLIP,3.80E-01,1.18E-01,1.57799,-5.2475,0.15368,NM_019009.2,
PECAM1,3.80E-01,1.18E-01,1.57747,-5.2483,0.25043,NM_000442.3,
LCK,3.80E-01,1.18E-01,1.57568,-5.251,0.35454,NM_005356.2,
CYFIP2,3.80E-01,1.19E-01,1.57344,-5.2544,0.34925,NM_001037332.2,
SPANXB1,3.80E-01,1.19E-01,1.57105,-5.258,0.37874,NM_032461.2,
COL3A1,3.81E-01,1.21E-01,-1.56465,-5.2676,-0.46106,NM_000090.3,
ILF3,3.81E-01,1.21E-01,-1.56328,-5.2697,-0.13492,NM_001137673.1,
IRF3,3.81E-01,1.21E-01,-1.56224,-5.2713,-0.20798,NM_001571.5,
PTPRC,3.81E-01,1.21E-01,1.56189,-5.2718,0.34044,NM_080921.3,
ICAM1,3.81E-01,1.22E-01,-1.55938,-5.2756,-0.33695,NM_000201.2,
NFKB1,3.89E-01,1.25E-01,1.54689,-5.2942,0.23392,NM_003998.2,
IFNL2,3.89E-01,1.26E-01,1.54458,-5.2977,0.27837,NM_172138.1,
LYN,3.92E-01,1.27E-01,1.53911,-5.3058,0.33813,NM_002350.1,
LY9,3.95E-01,1.29E-01,1.53225,-5.3159,0.53218,NM_001033667.1,
KIR_Inhibiting_Subgroup_1,4.00E-01,1.30E-01,1.5247,-5.327,0.3659,NM_014218.2,
CTSW,4.00E-01,1.31E-01,1.52257,-5.3302,0.46196,NM_001335.3,
MME,4.02E-01,1.32E-01,-1.51729,-5.3379,-0.49829,NM_000902.2,
C9,4.06E-01,1.34E-01,1.50939,-5.3494,0.30482,NM_001737.3,NA
NT5E,4.06E-01,1.35E-01,-1.5086,-5.3506,-0.37083,NM_002526.2,
TPSAB1,4.07E-01,1.36E-01,1.50437,-5.3567,0.40169,NM_003294.3,
BID,4.07E-01,1.36E-01,1.50308,-5.3586,0.34462,NM_001196.2,NA
HLA-DRA,4.09E-01,1.37E-01,1.49782,-5.3662,0.32881,NM_019111.3,
CFD,4.12E-01,1.39E-01,1.49271,-5.3735,0.32115,NM_001928.2,
ALAS1,4.12E-01,1.39E-01,1.48955,-5.3781,0.13516,NM_000688.4,
C8G,4.12E-01,1.40E-01,1.48878,-5.3792,0.5677,NM_000606.2,NA
CSF1,4.18E-01,1.42E-01,1.47916,-5.3929,0.4006,NM_000757.4,
FCER2,4.20E-01,1.44E-01,1.47346,-5.4011,0.48462,NM_002002.4,
CNOT10,4.24E-01,1.46E-01,1.4667,-5.4107,0.18103,NM_001256741.1,
THY1,4.26E-01,1.47E-01,-1.46165,-5.4178,-0.30384,NM_006288.2,
CD53,4.26E-01,1.47E-01,1.46042,-5.4195,0.36836,NM_001040033.1,
CD46,4.27E-01,1.48E-01,1.45746,-5.4237,0.12138,NM_172350.1,
NCR1,4.27E-01,1.49E-01,1.45331,-5.4295,0.38231,NM_004829.5,
PRG2,4.27E-01,1.50E-01,-1.45118,-5.4325,-0.35931,NM_002728.4,
CMA1,4.27E-01,1.50E-01,1.44999,-5.4342,0.36564,NM_001836.2,
CTCFL,4.27E-01,1.51E-01,1.44612,-5.4396,0.30683,NM_001269042.1,
MAPK3,4.27E-01,1.52E-01,-1.44496,-5.4412,-0.16298,NM_001040056.1,
DUSP6,4.27E-01,1.52E-01,-1.44372,-5.4429,-0.23484,NM_001946.2,
MAP2K2,4.27E-01,1.52E-01,-1.44185,-5.4455,-0.12207,NM_030662.2,
GUSB,4.27E-01,1.52E-01,1.44171,-5.4457,0.18461,NM_000181.1,
CXCL10,4.27E-01,1.53E-01,1.44008,-5.448,0.66802,NM_001565.1,
TNFAIP3,4.30E-01,1.55E-01,-1.43378,-5.4567,-0.26124,NM_006290.2,
ANP32B,4.30E-01,1.55E-01,-1.43228,-5.4588,-0.14625,NM_006401.2,NA
FUT7,4.30E-01,1.56E-01,1.43038,-5.4614,0.4346,NM_004479.3,
CCL20,4.31E-01,1.57E-01,1.42687,-5.4663,0.50482,NM_004591.1,NA
CD79A,4.31E-01,1.57E-01,1.42557,-5.4681,0.58653,NM_001783.3,
TIGIT,4.32E-01,1.58E-01,1.42156,-5.4736,0.40749,NM_173799.2,
TNFRSF14,4.32E-01,1.59E-01,1.42039,-5.4752,0.2243,NM_003820.2,
IL7,4.32E-01,1.60E-01,1.41417,-5.4837,0.35543,NM_000880.2,
SAA1,4.32E-01,1.60E-01,-1.41398,-5.484,-0.43736,NM_199161.1,
CD33,4.32E-01,1.61E-01,1.41283,-5.4855,0.32605,NM_001177608.1,
NEG_A,4.32E-01,1.61E-01,-1.41265,-5.4858,-0.24065,,ERCC_00096.1
SF3A3,4.32E-01,1.61E-01,-1.41079,-5.4883,-0.1323,NM_006802.2,
NFKBIA,4.35E-01,1.63E-01,-1.40455,-5.4968,-0.16872,NM_020529.1,
CCR3,4.37E-01,1.64E-01,1.40057,-5.5022,0.32037,NM_001837.2,NA
MCAM,4.40E-01,1.66E-01,-1.39488,-5.5099,-0.19844,NM_006500.2,
HLA-DQA1,4.45E-01,1.68E-01,1.38729,-5.5201,1.11421,NM_002122.3,
FOS,4.52E-01,1.72E-01,-1.37601,-5.5351,-0.44363,NM_005252.2,
TBX21,4.53E-01,1.73E-01,1.37287,-5.5393,0.38236,NM_013351.1,
FEZ1,4.53E-01,1.73E-01,-1.37128,-5.5414,-0.33531,NM_005103.4,
MAGEA3,4.56E-01,1.75E-01,1.36468,-5.5502,1.10217,NM_005362.3,
ICAM4,4.56E-01,1.76E-01,1.36361,-5.5516,0.47571,NM_001039132.1,
S100B,4.56E-01,1.77E-01,1.35846,-5.5584,0.36696,NM_006272.1,
CDK1,4.56E-01,1.78E-01,-1.35744,-5.5597,-0.17059,NM_001786.4,
NOTCH1,4.56E-01,1.78E-01,-1.35711,-5.5601,-0.20553,NM_017617.3,
