ID,adj.P.Val,P.Value,t,B,logFC,Gene,Gene.title
217109_at,0.003178,1.67E-06,-5.5759209,4.99094,-3.13,MUC4,"mucin 4, cell surface associated"
238113_at,0.003178,1.75E-06,-5.5614461,4.94789,-3.31E-01,SMIM2-AS1,SMIM2 antisense RNA 1
231846_at,0.003178,1.75E-06,5.5614274,4.94784,5.57E-01,FOXRED2,FAD dependent oxidoreductase domain containing 2
236458_at,0.003178,1.85E-06,-5.545826,4.90146,-5.96E-01,,
241412_at,0.003178,1.86E-06,-5.5434264,4.89432,-1.55,BTC,betacellulin
225947_at,0.00355,2.14E-06,5.5002777,4.7661,6.73E-01,MYO19,myosin XIX
202264_s_at,0.003621,2.25E-06,5.4851045,4.72102,5.62E-01,TOMM40,translocase of outer mitochondrial membrane 40
205011_at,0.003672,2.35E-06,-5.4720089,4.68213,-8.84E-01,VWA5A,von Willebrand factor A domain containing 5A
227746_at,0.003767,2.48E-06,5.4555852,4.63337,4.98E-01,ELAVL1,ELAV like RNA binding protein 1
204826_at,0.004361,3.00E-06,5.397443,4.46085,6.84E-01,CCNF,cyclin F
202187_s_at,0.004361,3.03E-06,-5.3942416,4.45136,-5.51E-01,PPP2R5A,protein phosphatase 2 regulatory subunit B'alpha
240161_s_at,0.004517,3.22E-06,-5.3755826,4.39603,-2.89,CDC20B,cell division cycle 20B
228241_at,0.004517,3.30E-06,-5.3677986,4.37296,-2.88,AGR3,"anterior gradient 3, protein disulphide isomerase family member"
225450_at,0.004951,3.71E-06,5.3321789,4.26743,1.01,AMOTL1,angiomotin like 1
208794_s_at,0.004976,3.82E-06,5.3232256,4.24092,7.45E-01,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
219322_s_at,0.005015,3.94E-06,5.31365,4.21256,5.41E-01,WRAP73,"WD repeat containing, antisense to TP73"
217110_s_at,0.005131,4.16E-06,-5.2972132,4.16391,-2.79,MUC4,"mucin 4, cell surface associated"
216863_s_at,0.005131,4.22E-06,5.2927001,4.15056,4.37E-01,MORC2,MORC family CW-type zinc finger 2
211375_s_at,0.005264,4.43E-06,5.2780883,4.10733,6.75E-01,ILF3,interleukin enhancer binding factor 3
205194_at,0.005374,4.62E-06,5.2651648,4.06911,1.15,PSPH,phosphoserine phosphatase
214728_x_at,0.005529,4.86E-06,5.2496463,4.02323,6.58E-01,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
229542_at,0.005529,4.96E-06,-5.2436414,4.00548,-2.99,C20orf85,chromosome 20 open reading frame 85
238720_at,0.005546,5.09E-06,-5.2352419,3.98066,-2.55,LOC101927057///OMG,uncharacterized LOC101927057///oligodendrocyte myelin glycoprotein
1558700_s_at,0.005546,5.17E-06,5.2304472,3.9665,1.21,ZNF260,zinc finger protein 260
219675_s_at,0.005571,5.33E-06,5.2211375,3.93899,7.08E-01,UXS1,UDP-glucuronate decarboxylase 1
210102_at,0.005571,5.40E-06,-5.2172179,3.92742,-9.16E-01,VWA5A,von Willebrand factor A domain containing 5A
221610_s_at,0.005616,5.55E-06,5.2090243,3.90322,6.32E-01,STAP2,signal transducing adaptor family member 2
228402_at,0.005704,5.83E-06,5.1936823,3.85793,6.96E-01,ZBED3,zinc finger BED-type containing 3
224009_x_at,0.005704,5.84E-06,-5.1930482,3.85606,-1.89,DHRS9,dehydrogenase/reductase 9
239150_at,0.005889,6.14E-06,-5.1778051,3.81108,-3.12,SNTN,"sentan, cilia apical structure protein"
202625_at,0.005892,6.29E-06,-5.1701643,3.78854,-8.82E-01,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
227038_at,0.005892,6.36E-06,-5.1670156,3.77926,-2.01,SGMS2,sphingomyelin synthase 2
235988_at,0.005908,6.52E-06,-5.1593403,3.75662,-1.51,ADGRF1,adhesion G protein-coupled receptor F1
1555963_x_at,0.005908,6.59E-06,-5.1559182,3.74653,-1.71,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
60474_at,0.005944,6.74E-06,5.149052,3.72629,1.47,FERMT1,fermitin family member 1
1552291_at,0.006215,7.16E-06,5.1304191,3.67139,7.86E-01,PIGX,phosphatidylinositol glycan anchor biosynthesis class X
220299_at,0.006217,7.28E-06,-5.1254481,3.65674,-5.97E-01,SPATA6,spermatogenesis associated 6
224468_s_at,0.006454,7.67E-06,5.1091388,3.60872,8.18E-01,SNORD88C///C19orf48,"small nucleolar RNA, C/D box 88C///chromosome 19 open reading frame 48"
225171_at,0.006529,8.06E-06,-5.0939085,3.56389,-1.21,ARHGAP18,Rho GTPase activating protein 18
226925_at,0.006529,8.17E-06,5.0896587,3.55139,1.25,PXYLP1,2-phosphoxylose phosphatase 1
216952_s_at,0.006529,8.19E-06,5.0888808,3.5491,8.00E-01,LMNB2,lamin B2
234936_s_at,0.006529,8.24E-06,-5.0871552,3.54402,-1.06,CC2D2A,coiled-coil and C2 domain containing 2A
1556003_a_at,0.006684,8.66E-06,-5.0717044,3.49858,-1.89,LOC101928817,uncharacterized LOC101928817
206656_s_at,0.006684,8.68E-06,5.0709476,3.49636,5.54E-01,APMAP,adipocyte plasma membrane associated protein
209250_at,0.006684,8.89E-06,5.0637142,3.47509,9.49E-01,DEGS1,"delta 4-desaturase, sphingolipid 1"
227751_at,0.006684,8.92E-06,5.0625602,3.4717,6.29E-01,PDCD5,programmed cell death 5
1557667_at,0.006923,9.37E-06,5.0475026,3.42745,7.94E-01,,
215714_s_at,0.006931,9.57E-06,5.0408604,3.40794,6.85E-01,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
205406_s_at,0.006931,9.64E-06,-5.0385874,3.40126,-1.8,SPA17,sperm autoantigenic protein 17
240065_at,0.006931,9.76E-06,-5.0348557,3.3903,-2.55,FAM81B,family with sequence similarity 81 member B
209409_at,0.007037,1.00E-05,5.0261761,3.36482,1.35,GRB10,growth factor receptor bound protein 10
223952_x_at,0.007046,1.02E-05,-5.0218356,3.35208,-1.68,DHRS9,dehydrogenase/reductase 9
226565_at,0.007129,1.04E-05,5.0140972,3.32937,4.11E-01,TMEM99,transmembrane protein 99
227156_at,0.007129,1.06E-05,5.0105045,3.31882,9.27E-01,CASK,calcium/calmodulin dependent serine protein kinase
227623_at,0.007197,1.08E-05,5.003777,3.29909,1.86,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1
222271_at,0.007288,1.11E-05,-4.9961105,3.2766,-1.55,,
202153_s_at,0.00743,1.17E-05,4.9798891,3.22905,6.06E-01,NUP62,nucleoporin 62
212523_s_at,0.00743,1.17E-05,4.9782352,3.2242,1.38,SPIDR,scaffolding protein involved in DNA repair
225496_s_at,0.00743,1.17E-05,-4.9776066,3.22236,-1.3,SYTL2,synaptotagmin like 2
240213_at,0.00743,1.18E-05,4.9755561,3.21635,3.43E-01,,
209114_at,0.00744,1.20E-05,-4.971622,3.20483,-2.08,TSPAN1,tetraspanin 1
235505_s_at,0.007622,1.25E-05,4.9585221,3.16646,7.06E-01,LRPAP1,LDL receptor related protein associated protein 1
218796_at,0.007622,1.25E-05,4.957184,3.16254,1.25,FERMT1,fermitin family member 1
201462_at,0.007978,1.33E-05,-4.937974,3.10631,-9.63E-01,SCRN1,secernin 1
217746_s_at,0.007978,1.35E-05,-4.9346961,3.09672,-5.76E-01,PDCD6IP,programmed cell death 6 interacting protein
39248_at,0.007978,1.36E-05,-4.9328449,3.09131,-2.71,AQP3,aquaporin 3 (Gill blood group)
207332_s_at,0.008004,1.39E-05,4.9245426,3.06703,1.04,TFRC,transferrin receptor
240877_x_at,0.008004,1.40E-05,4.9227312,3.06173,4.91E-01,,
223631_s_at,0.008004,1.42E-05,-4.9191978,3.0514,-2.54,C19orf33,chromosome 19 open reading frame 33
220141_at,0.008004,1.46E-05,-4.909894,3.0242,-5.48E-01,C11orf63,chromosome 11 open reading frame 63
200653_s_at,0.008004,1.46E-05,-4.9092853,3.02242,-9.21E-01,CALM3///CALM2///CALM1,calmodulin 3///calmodulin 2///calmodulin 1
219799_s_at,0.008004,1.47E-05,-4.9090348,3.02169,-1.87,DHRS9,dehydrogenase/reductase 9
212268_at,0.008004,1.49E-05,-4.9048752,3.00954,-1.28,SERPINB1,serpin family B member 1
228100_at,0.008004,1.49E-05,-4.9039909,3.00695,-1.62,PIFO,primary cilia formation
218615_s_at,0.008004,1.51E-05,4.900546,2.99689,5.45E-01,TMEM39A,transmembrane protein 39A
217604_at,0.008004,1.51E-05,4.9001228,2.99565,6.89E-01,,
208691_at,0.008025,1.53E-05,4.8963123,2.98452,9.03E-01,TFRC,transferrin receptor
238116_at,0.008031,1.54E-05,-4.8931119,2.97518,-2.36,DYNLRB2,dynein light chain roadblock-type 2
213951_s_at,0.008078,1.58E-05,4.8853815,2.9526,8.99E-01,PSMC3IP,PSMC3 interacting protein
204548_at,0.008078,1.61E-05,4.8796638,2.93591,1.79,STAR,steroidogenic acute regulatory protein
203046_s_at,0.008078,1.64E-05,4.8744142,2.92059,8.57E-01,TIMELESS,timeless circadian clock
238063_at,0.008078,1.65E-05,-4.8715484,2.91223,-9.34E-01,TMEM154,transmembrane protein 154
244463_at,0.008078,1.67E-05,4.8678806,2.90153,1.67,ADAM23,ADAM metallopeptidase domain 23
236489_at,0.008078,1.73E-05,-4.8572045,2.8704,-1.84,ADGRF1,adhesion G protein-coupled receptor F1
203270_at,0.008078,1.75E-05,4.8532789,2.85895,5.98E-01,DTYMK,deoxythymidylate kinase
204172_at,0.008078,1.76E-05,4.8524587,2.85656,6.89E-01,CPOX,coproporphyrinogen oxidase
223609_at,0.008078,1.76E-05,-4.8523513,2.85625,-1.8,ROPN1L,rhophilin associated tail protein 1 like
212859_x_at,0.008078,1.77E-05,-4.849924,2.84917,-7.04E-01,MT1E,metallothionein 1E
238807_at,0.008078,1.77E-05,4.8497279,2.8486,7.15E-01,GAPDHP62///ANKRD46,glyceraldehyde 3 phosphate dehydrogenase pseudogene 62///ankyrin repeat domain 46
221584_s_at,0.008078,1.78E-05,4.848853,2.84605,1.29,KCNMA1,potassium calcium-activated channel subfamily M alpha 1
201505_at,0.008078,1.78E-05,4.8487308,2.84569,1.81,LAMB1,laminin subunit beta 1
229012_at,0.008078,1.78E-05,-4.8485332,2.84512,-2.53,C9orf24,chromosome 9 open reading frame 24
217944_at,0.008078,1.79E-05,4.8468807,2.8403,7.38E-01,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
203939_at,0.008078,1.80E-05,-4.8456758,2.83679,-9.11E-01,NT5E,5'-nucleotidase ecto
1552274_at,0.008078,1.80E-05,-4.8446495,2.8338,-4.84E-01,PXK,PX domain containing serine/threonine kinase like
213174_at,0.008087,1.87E-05,-4.8338765,2.80241,-9.83E-01,TTC9,tetratricopeptide repeat domain 9
204331_s_at,0.008087,1.87E-05,4.8338121,2.80222,8.33E-01,MRPS12,mitochondrial ribosomal protein S12
1569974_x_at,0.008087,1.88E-05,4.8322598,2.7977,3.06E-01,SEPT7P2,septin 7 pseudogene 2
244218_at,0.008087,1.88E-05,-4.8321503,2.79738,-6.56E-01,,
244631_at,0.008087,1.88E-05,4.8317746,2.79629,9.50E-01,LOC389834,ankyrin repeat domain 57 pseudogene
213668_s_at,0.008233,1.93E-05,4.8233736,2.77183,9.90E-01,SOX4,SRY-box 4
210674_s_at,0.008233,1.97E-05,-4.8166154,2.75215,-3.21E-01,PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9,"protocadherin alpha 1///protocadherin alpha 2///protocadherin alpha 3///protocadherin alpha 4///protocadherin alpha 5///protocadherin alpha 6///protocadherin alpha 7///protocadherin alpha 8///protocadherin alpha 10///protocadherin alpha 11///protocadherin alpha 12///protocadherin alpha 13///protocadherin alpha subfamily C, 1///protocadherin alpha subfamily C, 2///protocadherin alpha 9"
221122_at,0.008233,1.99E-05,-4.8139791,2.74448,-1.21,HRASLS2,HRAS like suppressor 2
219522_at,0.008233,1.99E-05,4.8138254,2.74404,1.16,FJX1,four jointed box 1
204126_s_at,0.008233,2.00E-05,4.8117705,2.73806,8.26E-01,CDC45,cell division cycle 45
227117_at,0.008233,2.01E-05,4.8110017,2.73582,9.37E-01,XPOT,exportin for tRNA
228067_at,0.008233,2.02E-05,-4.8095008,2.73145,-1.49,KIAA1211L,KIAA1211 like
224463_s_at,0.008382,2.09E-05,-4.7983418,2.69899,-2.19,C11orf70,chromosome 11 open reading frame 70
219901_at,0.008382,2.10E-05,4.7977238,2.6972,8.60E-01,FGD6,"FYVE, RhoGEF and PH domain containing 6"
232914_s_at,0.008382,2.10E-05,-4.7969791,2.69503,-1.44,SYTL2,synaptotagmin like 2
209310_s_at,0.008511,2.18E-05,-4.7858174,2.66259,-7.24E-01,CASP4,caspase 4
219517_at,0.008511,2.18E-05,-4.7849196,2.65998,-1.01,ELL3,elongation factor for RNA polymerase II 3
210631_at,0.008511,2.19E-05,-4.7844269,2.65855,-2.32E-01,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1
227546_x_at,0.008511,2.20E-05,4.7827954,2.65381,5.30E-01,AURKAIP1,aurora kinase A interacting protein 1
223004_s_at,0.008511,2.21E-05,4.7810463,2.64872,7.28E-01,TIMMDC1,translocase of inner mitochondrial membrane domain containing 1
203757_s_at,0.008593,2.25E-05,-4.7750164,2.63121,-2.32,CEACAM6,carcinoembryonic antigen related cell adhesion molecule 6
228976_at,0.008593,2.26E-05,4.7736687,2.62729,5.71E-01,ICOSLG,inducible T-cell costimulator ligand
219137_s_at,0.008682,2.32E-05,4.7662224,2.60567,6.55E-01,MFF,mitochondrial fission factor
214719_at,0.008682,2.33E-05,-4.7644754,2.6006,-7.99E-01,SLC46A3,solute carrier family 46 member 3
204087_s_at,0.008682,2.33E-05,4.7639985,2.59921,6.38E-01,SLC5A6,solute carrier family 5 member 6
204895_x_at,0.008715,2.36E-05,-4.7604611,2.58894,-2.02,MUC4,"mucin 4, cell surface associated"
231051_at,0.008715,2.39E-05,-4.7560962,2.57628,-4.48E-01,MRLN,myoregulin
1554314_at,0.008715,2.40E-05,4.7551768,2.57361,1.79,C6orf141,chromosome 6 open reading frame 141
210033_s_at,0.008715,2.41E-05,-4.7544495,2.5715,-2.08,SPAG6,sperm associated antigen 6
223737_x_at,0.008718,2.45E-05,-4.749175,2.5562,-2.2,CHST9,carbohydrate sulfotransferase 9
1555962_at,0.008718,2.45E-05,-4.7487704,2.55502,-1.44,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
210754_s_at,0.008718,2.49E-05,-4.7435367,2.53984,-7.23E-01,LYN,"LYN proto-oncogene, Src family tyrosine kinase"
225167_at,0.008718,2.50E-05,4.7425379,2.53695,1.09,FRMD4A,FERM domain containing 4A
204288_s_at,0.008718,2.50E-05,-4.7424873,2.5368,-1.06,SORBS2,sorbin and SH3 domain containing 2
243952_at,0.008718,2.50E-05,-4.7421286,2.53576,-4.79E-01,TPTEP1,transmembrane phosphatase with tensin homology pseudogene 1
244641_at,0.008808,2.55E-05,4.7364223,2.51921,2.96E-01,MALSU1,mitochondrial assembly of ribosomal large subunit 1
236085_at,0.008808,2.57E-05,-4.7342815,2.51301,-2.12,CAPSL,calcyphosine like
218560_s_at,0.008808,2.58E-05,4.7330155,2.50934,5.37E-01,JMJD4,jumonji domain containing 4
221666_s_at,0.008833,2.61E-05,4.7291983,2.49828,7.47E-01,PYCARD,PYD and CARD domain containing
222052_at,0.008833,2.62E-05,4.7277062,2.49395,4.21E-01,C19orf54,chromosome 19 open reading frame 54
221988_at,0.008833,2.63E-05,4.726311,2.48991,6.54E-01,SMIM7,small integral membrane protein 7
242012_at,0.008942,2.68E-05,-4.7204675,2.47298,-3.19E-01,,
213808_at,0.008942,2.70E-05,4.7184778,2.46722,2.32,ADAM23,ADAM metallopeptidase domain 23
218963_s_at,0.008942,2.73E-05,-4.7146507,2.45613,-1.81,KRT23,keratin 23
220196_at,0.008942,2.74E-05,-4.7141555,2.4547,-2.03,MUC16,"mucin 16, cell surface associated"
239292_at,0.008942,2.76E-05,-4.7120632,2.44864,-9.97E-01,,
237031_at,0.008942,2.76E-05,4.711153,2.44601,5.20E-01,,
239229_at,0.008988,2.81E-05,-4.7055972,2.42992,-5.44E-01,PHEX,"phosphate regulating endopeptidase homolog, X-linked"
218780_at,0.008988,2.82E-05,4.7046128,2.42708,5.32E-01,HOOK2,hook microtubule tethering protein 2
212898_at,0.008988,2.83E-05,4.7040399,2.42542,6.40E-01,TTI1,TELO2 interacting protein 1
214426_x_at,0.009066,2.87E-05,4.6994995,2.41228,4.09E-01,CHAF1A,chromatin assembly factor 1 subunit A
237281_at,0.009138,2.92E-05,-4.6944203,2.39758,-2.33,AKAP14,A-kinase anchoring protein 14
229276_at,0.009138,2.92E-05,4.6934186,2.39469,6.74E-01,IGSF9,immunoglobulin superfamily member 9
218876_at,0.009224,2.97E-05,-4.6887007,2.38104,-2.04,TPPP3,tubulin polymerization promoting protein family member 3
202107_s_at,0.009238,2.99E-05,4.6864419,2.37451,9.33E-01,MCM2,minichromosome maintenance complex component 2
207625_s_at,0.009269,3.02E-05,4.6836338,2.36639,4.10E-01,CBFA2T2,CBFA2/RUNX1 translocation partner 2
218592_s_at,0.009329,3.08E-05,4.6774921,2.34864,5.44E-01,CECR5,"cat eye syndrome chromosome region, candidate 5"
238877_at,0.009329,3.09E-05,-4.6765019,2.34578,-8.44E-01,EYA4,EYA transcriptional coactivator and phosphatase 4
225220_at,0.009329,3.09E-05,4.6762604,2.34508,7.84E-01,SNHG8///SNORA24,"small nucleolar RNA host gene 8///small nucleolar RNA, H/ACA box 24"
243176_at,0.009329,3.11E-05,4.6746184,2.34034,6.98E-01,LOC101929356///ARL5A,uncharacterized LOC101929356///ADP ribosylation factor like GTPase 5A
228600_x_at,0.009404,3.15E-05,-4.6703882,2.32811,-1.44,FAM221A,family with sequence similarity 221 member A
239916_at,0.0095,3.21E-05,-4.6643067,2.31055,-2.32,CFAP52,cilia and flagella associated protein 52
37117_at,0.0095,3.23E-05,4.6621872,2.30443,1.03,PRR5-ARHGAP8///ARHGAP8,PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
228726_at,0.0095,3.23E-05,-4.662095,2.30416,-1.16,SERPINB1,serpin family B member 1
224400_s_at,0.009606,3.29E-05,-4.6569404,2.28928,-2.1,CHST9,carbohydrate sulfotransferase 9
219518_s_at,0.009705,3.34E-05,-4.6514915,2.27355,-1.22,ELL3,elongation factor for RNA polymerase II 3
218974_at,0.009705,3.37E-05,-4.6487692,2.2657,-9.87E-01,SOBP,sine oculis binding protein homolog
1555037_a_at,0.009705,3.37E-05,4.6486999,2.2655,9.29E-01,IDH1,"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"
218204_s_at,0.009818,3.45E-05,-4.6419753,2.2461,-6.84E-01,FYCO1,FYVE and coiled-coil domain containing 1
217788_s_at,0.009818,3.45E-05,4.6417893,2.24556,8.33E-01,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2
204136_at,0.009837,3.47E-05,4.6395335,2.23906,8.11E-01,COL7A1,collagen type VII alpha 1 chain
213411_at,0.009867,3.53E-05,4.634726,2.2252,1.24,ADAM22,ADAM metallopeptidase domain 22
204803_s_at,0.009867,3.54E-05,-4.6333701,2.22129,-2.03,RRAD,"RRAD, Ras related glycolysis inhibitor and calcium channel regulator"
220269_at,0.009867,3.55E-05,-4.6329066,2.21995,-1.95,ZBBX,zinc finger B-box domain containing
221552_at,0.009867,3.57E-05,-4.6310604,2.21463,-7.07E-01,ABHD6,abhydrolase domain containing 6
218931_at,0.009867,3.57E-05,-4.6305394,2.21313,-4.62E-01,RAB17,"RAB17, member RAS oncogene family"
228707_at,0.009898,3.60E-05,-4.6279844,2.20576,-1.49,CLDN23,claudin 23
230968_at,0.0099,3.62E-05,-4.6263293,2.20099,-6.61E-01,HDAC9,histone deacetylase 9
225583_at,0.009945,3.67E-05,4.6218447,2.18807,7.43E-01,UXS1,UDP-glucuronate decarboxylase 1
202779_s_at,0.009945,3.70E-05,4.6199289,2.18255,6.17E-01,UBE2S,ubiquitin conjugating enzyme E2 S
238657_at,0.009945,3.72E-05,-4.6180839,2.17724,-1.31,UBXN10,UBX domain protein 10
227921_at,0.009945,3.72E-05,4.6176413,2.17596,1.66,LOC105379499///FLJ45482,uncharacterized LOC105379499///uncharacterized LOC645566
231084_at,0.009945,3.73E-05,-4.6171391,2.17452,-2.01,CFAP43,cilia and flagella associated protein 43
201046_s_at,0.010092,3.80E-05,4.6109708,2.15675,3.50E-01,RAD23A,"RAD23 homolog A, nucleotide excision repair protein"
205559_s_at,0.010098,3.82E-05,-4.6092618,2.15183,-1.22,PCSK5,proprotein convertase subtilisin/kexin type 5
211651_s_at,0.010177,3.87E-05,4.605171,2.14006,1.37,LAMB1,laminin subunit beta 1
91617_at,0.010177,3.89E-05,4.6037911,2.13609,4.21E-01,MIR1306///DGCR8,microRNA 1306///DGCR8 microprocessor complex subunit
203956_at,0.010196,3.92E-05,4.6016954,2.13006,6.58E-01,MORC2,MORC family CW-type zinc finger 2
1553984_s_at,0.01023,3.95E-05,4.5991441,2.12272,6.51E-01,DTYMK,deoxythymidylate kinase
202589_at,0.010257,3.99E-05,4.5955271,2.11231,1.3,TYMS,thymidylate synthetase
206197_at,0.010257,4.03E-05,-4.5928253,2.10454,-1.36,NME5,NME/NM23 family member 5
230782_at,0.010257,4.04E-05,4.5917179,2.10136,1.71,SORD,sorbitol dehydrogenase
218935_at,0.010257,4.05E-05,-4.5909385,2.09911,-6.46E-01,EHD3,EH domain containing 3
237291_at,0.010257,4.06E-05,-4.5904742,2.09778,-4.09E-01,PRORSD1P,"prolyl-tRNA synthetase associated domain containing 1, pseudogene"
1563088_a_at,0.010257,4.07E-05,4.5894713,2.09489,8.20E-01,AATBC,apoptosis associated transcript in bladder cancer
243802_at,0.010329,4.12E-05,-4.5858346,2.08444,-2.11,DNAH12,dynein axonemal heavy chain 12
217805_at,0.010437,4.18E-05,4.5811052,2.07084,6.53E-01,ILF3,interleukin enhancer binding factor 3
219301_s_at,0.010583,4.26E-05,4.5748414,2.05285,1.64,CNTNAP2,contactin associated protein-like 2
1554696_s_at,0.010583,4.28E-05,4.5738448,2.04998,9.07E-01,TYMS,thymidylate synthetase
244110_at,0.010592,4.30E-05,-4.5721541,2.04513,-3.13E-01,KMT2A,lysine methyltransferase 2A
208949_s_at,0.010653,4.34E-05,-4.5689425,2.0359,-9.14E-01,LGALS3,"lectin, galactoside binding soluble 3"
57540_at,0.010688,4.38E-05,-4.56649,2.02886,-8.93E-01,RBKS,ribokinase
219013_at,0.010707,4.41E-05,4.5645134,2.02318,1.23,GALNT11,polypeptide N-acetylgalactosaminyltransferase 11
1552639_at,0.010926,4.52E-05,-4.5567359,2.00086,-2.99E-01,KLHDC7B,kelch domain containing 7B
201193_at,0.010998,4.60E-05,4.5510726,1.98461,8.01E-01,IDH1,"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"
218138_at,0.010998,4.60E-05,4.5507494,1.98368,5.98E-01,MKKS,McKusick-Kaufman syndrome
225733_at,0.010998,4.66E-05,4.5468555,1.97251,3.47E-01,B3GALT6,"beta-1,3-galactosyltransferase 6"
1558117_s_at,0.010998,4.68E-05,4.5458123,1.96952,8.15E-01,USP31,ubiquitin specific peptidase 31
202925_s_at,0.010998,4.68E-05,4.5452149,1.96781,4.93E-01,PLAGL2,PLAG1 like zinc finger 2
213693_s_at,0.010998,4.69E-05,-4.5448127,1.96666,-1.61,MUC1,"mucin 1, cell surface associated"
235512_at,0.010998,4.70E-05,-4.5443206,1.96524,-3.55E-01,CDKL1,cyclin dependent kinase like 1
226393_at,0.010998,4.73E-05,-4.5419514,1.95845,-2.47E-01,CYP2U1,cytochrome P450 family 2 subfamily U member 1
206200_s_at,0.010998,4.74E-05,-4.5414273,1.95695,-8.00E-01,ANXA11,annexin A11
201111_at,0.010998,4.75E-05,4.5409689,1.95563,1.04,CSE1L,chromosome segregation 1 like
205289_at,0.011029,4.78E-05,4.5387348,1.94923,1.26,BMP2,bone morphogenetic protein 2
204580_at,0.011113,4.84E-05,4.5350039,1.93854,1.82,MMP12,matrix metallopeptidase 12
